construction,sweep,beta,beta_max,sigma,dim,rho,T,max_pred_err_mean,w_linf_mean,w_l1_mean,max_w_linf_mean,decision_agree_mean,regret_diff_mean,max_cos_mean,diverged_mean,max_pred_err_sem,w_linf_sem,w_l1_sem,max_w_linf_sem,decision_agree_sem,regret_diff_sem,n
mwu,beta_route,1.0,,,,,100,0.6410366853440803,0.44982029861483763,0.9674451178351735,0.4652771983662836,0.8380741381838585,8.1,0.0,0.0,0.018099708105276766,0.03580652504309173,0.05772778217123738,0.03407235939720002,0.01725548726335461,1.512926755801831,20
mwu,beta_route,1.0,,,,,500,0.8098372528119621,0.6747274105509918,1.3761570843353423,0.6948399494596169,0.7884164160600013,49.05,0.0,0.0,0.013669499926566886,0.02878770403236689,0.042651599771895594,0.01986855378503264,0.017135829323711993,9.233370542707975,20
mwu,beta_route,2.0,,,,,100,0.5414469747177612,0.44846291738239596,0.9636189627505937,0.4630622723700209,0.849145054585408,7.6,0.0,0.0,0.023786077042909557,0.035784160921649495,0.05788437549935838,0.034027899932113734,0.014561785706612282,1.4093671592149735,20
mwu,beta_route,2.0,,,,,500,0.7475784506778493,0.6731548395565947,1.3730685070884898,0.6953139969585121,0.7987352819332879,44.9,0.0,0.0,0.017653483259993098,0.028831473794438362,0.04264410727123787,0.020149728959751156,0.015778125875065697,8.822489205970935,20
mwu,beta_route,5.0,,,,,100,0.4108016110976663,0.3921320776466598,0.8282376208588179,0.3958286075809129,0.9234043241164007,3.15,0.0,0.0,0.026485758162554624,0.031968344965972256,0.05351367732930915,0.03137579054172256,0.008659871336102727,0.984818978824348,20
mwu,beta_route,5.0,,,,,500,0.6580007550691921,0.6178420613917694,1.2550413314182776,0.6644752904472893,0.8573543283491502,24.25,0.0,0.0,0.02129951108803472,0.027106718907918787,0.042894374780383125,0.023794135002393024,0.008835652420503342,7.031461254136373,20
mwu,beta_route,10.0,,,,,100,0.007459642560316971,0.0073968504641670155,0.01513049234752344,0.007802166955882329,0.9994949494949494,0.05,0.0,0.0,0.0005757489448622762,0.0006258078490078168,0.0011608248268613335,0.0006559311846991527,0.0005050505050505021,0.1352385806055747,20
mwu,beta_route,10.0,,,,,500,0.02436775652071297,0.014577136452542097,0.02915427290508415,0.024784098971673378,0.9993981939783181,0.0,0.0,0.0,0.0030471001035890658,0.0035420505117770193,0.007084101023554033,0.0031011961961618065,0.0003288515578278651,0.1777046633277277,20
mwu,beta_route,20.0,,,,,100,3.3878822643107487e-07,3.3519802490784845e-07,6.857568702947668e-07,3.5467680372935905e-07,1.0,0.0,0.0,0.0,2.603285693259953e-08,2.8739788105723198e-08,5.343390034678007e-08,2.9930996336095133e-08,0.0,0.12565617248750863,20
mwu,beta_route,20.0,,,,,500,1.0968644465765565e-06,6.269314618445598e-07,1.25386292369651e-06,1.112128979618987e-06,1.0,0.0,0.0,0.0,1.398612097505393e-07,1.6193812329198655e-07,3.238762465713971e-07,1.4184651674447312e-07,0.0,0.12565617248750863,20
mwu,beta_route,50.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,50.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,100.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,100.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,10000.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,10000.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000000.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,1000000.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_x_dim,10.0,,,32.0,,100,1.0286785168600825,0.7933387771135645,1.586677554227129,0.8800450972958684,0.6174004275874674,21.6,0.4685909083126097,0.0,0.059598739331680424,0.05874417533298017,0.11748835066596033,0.021779684406932197,0.04197321996991125,3.4529925998670836,20
mwu,beta_x_dim,10.0,,,32.0,,500,1.0324077332460768,0.9910076620236448,1.98201532404729,0.9950245936601968,0.5704674302181245,112.35,0.4685909083126097,0.9,0.013057973180796321,0.002843547750229625,0.00568709550045911,0.0015732899694105656,0.038417317594829824,16.413292911860385,20
mwu,beta_x_dim,10.0,,,64.0,,100,0.9257239817410687,0.6932297904612276,1.386459580922455,0.837601090837927,0.7337306613366996,14.55,0.33225016350453335,0.0,0.041337602354854015,0.0684190128875199,0.1368380257750398,0.02624590059870701,0.04054392311774128,3.151002346789618,20
mwu,beta_x_dim,10.0,,,64.0,,500,0.9937128192600521,0.7212982868939677,1.4425965737879354,0.8966671965414493,0.6874669771289688,81.15,0.33225016350453335,0.15,0.04405360530324388,0.09144729680222267,0.18289459360444535,0.02937543780176759,0.047548074555496776,18.218162568393694,20
mwu,beta_x_dim,10.0,,,128.0,,100,0.9266102754562731,0.6735911838412287,1.3471823676824575,0.8571070283905019,0.6989646964065226,16.7,0.23721008257877202,0.0,0.042705197849446624,0.07745879913045711,0.1549175982609142,0.02867610617656444,0.040772518080261444,3.2671410325108083,20
mwu,beta_x_dim,10.0,,,128.0,,500,0.9744083603966605,0.61458139429282,1.2291627885856402,0.8810397428608636,0.6655577319370101,96.5,0.23721008257877202,0.0,0.045713354440209825,0.10408987189979914,0.20817974379959828,0.031818080357700555,0.05038593504727364,17.74000830712438,20
mwu,beta_x_dim,10.0,,,256.0,,100,0.8929552899251437,0.7356396325780199,1.4712792651560398,0.8464554910020755,0.6833206565975344,17.9,0.16269360089398407,0.0,0.03654626832587056,0.06438602505031252,0.12877205010062506,0.028083325367651856,0.03929068186694447,3.239476890844537,20
mwu,beta_x_dim,10.0,,,256.0,,500,0.9648428977895603,0.7390561405401823,1.4781122810803649,0.9065587696708184,0.6372869399736987,99.05,0.16269360089398407,0.0,0.039445079145544154,0.09486636901928647,0.18973273803857293,0.031541586817026956,0.04535241908385225,17.951759186629506,20
mwu,beta_x_dim,10.0,,,512.0,,100,0.8464221234267694,0.6958914817623724,1.3917829635247447,0.8564773578581928,0.7045680112719876,17.0,0.12010095499453581,0.0,0.04034194643938043,0.07568592748279417,0.1513718549655883,0.030815873958369985,0.04090604164326796,3.6476380245159654,20
mwu,beta_x_dim,10.0,,,512.0,,500,0.9047132663444405,0.7033102082033968,1.4066204164067937,0.9078495027247984,0.6688873650673386,94.3,0.12010095499453581,0.0,0.04423214993536128,0.10256281699608731,0.20512563399217465,0.033961832444347514,0.04915784073574494,18.109622333241287,20
mwu,beta_x_dim,10.0,,,1024.0,,100,0.8448347750558585,0.7816044388763329,1.5632088777526658,0.8482097337802996,0.7088895051928925,14.75,0.08310998156126656,0.0,0.03506728999597518,0.056230646385185115,0.11246129277037023,0.030109485272160508,0.03300026343723711,2.8348164333032777,20
mwu,beta_x_dim,10.0,,,1024.0,,500,0.9296395756104102,0.7924791570037597,1.5849583140075196,0.9171434748677658,0.6425619888618073,89.2,0.08310998156126656,0.0,0.03511381964350218,0.08736327318907286,0.17472654637814572,0.03280770912969685,0.042113958181763896,16.88000997754756,20
mwu,beta_x_dim,10.0,,,2048.0,,100,0.7642152929276083,0.6114469952129393,1.2228939904258787,0.7868432064623753,0.8011550238339634,8.55,0.05580562464231035,0.0,0.041795346468392135,0.07048095837566284,0.14096191675132566,0.035582979230260964,0.03398135959283417,2.314115722894464,20
