construction,sweep,seed,max_cos,beta,sigma,dim,rho,T,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff,beta_max,max_err,final_err,greedy_agree,select_agree
mwu,exact,0,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,0,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,1,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,1,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,2,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,2,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,3,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,3,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,4,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,4,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,5,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,5,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,6,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,6,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,7,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,7,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,8,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,8,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,9,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,9,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,10,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,10,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,11,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,11,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,12,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,12,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,13,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,13,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,14,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,14,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,15,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,15,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,16,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,16,0.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
mwu,exact,17,0.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
