construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
q,exact,0,0.0,,,,,,100,3.028879302924281e-08,3.028879302924281e-08,1.0,1.0,,,,,,
q,exact,0,0.0,,,,,,500,2.2809529198752898e-07,2.2809529198752898e-07,1.0,1.0,,,,,,
q,exact,1,0.0,,,,,,100,3.0527475880504085e-08,2.9526304734517346e-08,1.0,1.0,,,,,,
q,exact,1,0.0,,,,,,500,3.0726483357668144e-07,3.0726483357668144e-07,1.0,1.0,,,,,,
q,exact,2,0.0,,,,,,100,2.982463576106653e-08,2.982463576106653e-08,1.0,1.0,,,,,,
q,exact,2,0.0,,,,,,500,2.796233458113307e-07,2.796233458113307e-07,1.0,1.0,,,,,,
q,exact,3,0.0,,,,,,100,4.947605212191064e-07,4.429138493189378e-07,1.0,1.0,,,,,,
q,exact,3,0.0,,,,,,500,4.947605212191064e-07,1.6835340410636945e-07,1.0,1.0,,,,,,
q,exact,12,0.0,,,,,,100,3.279982063730813e-08,3.279982063730813e-08,1.0,1.0,,,,,,
q,exact,12,0.0,,,,,,500,2.337195317281271e-07,2.323051733199577e-07,1.0,1.0,,,,,,
q,exact,13,0.0,,,,,,100,4.58466848929362e-08,4.58466848929362e-08,1.0,1.0,,,,,,
q,exact,13,0.0,,,,,,500,2.44146739711848e-05,7.547016205089463e-06,1.0,1.0,,,,,,
q,exact,14,0.0,,,,,,100,1.580745818546836e-07,1.183234092927421e-07,1.0,1.0,,,,,,
q,exact,14,0.0,,,,,,500,2.505869689528595e-07,2.505869689528595e-07,1.0,1.0,,,,,,
q,exact,15,0.0,,,,,,100,2.5669270931061305e-08,2.5669270931061305e-08,1.0,1.0,,,,,,
q,exact,15,0.0,,,,,,500,1.937316445044246e-07,1.937316445044246e-07,1.0,1.0,,,,,,
q,exact,4,0.0,,,,,,100,4.642266082655056e-08,4.332028824549639e-08,1.0,1.0,,,,,,
q,exact,4,0.0,,,,,,500,2.7742166475164254e-07,2.534606005077933e-07,1.0,1.0,,,,,,
q,exact,5,0.0,,,,,,100,1.4096427492282793e-05,5.977061780182424e-06,1.0,1.0,,,,,,
q,exact,5,0.0,,,,,,500,1.4096427492282793e-05,1.6483028026925697e-06,1.0,1.0,,,,,,
q,exact,6,0.0,,,,,,100,4.64761786833634e-08,4.405826659059642e-08,1.0,1.0,,,,,,
