construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
mwu,exact,0,0.0,,,,,,100,,,,,7.127631818093505e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,0,0.0,,,,,,500,,,,,7.127631818093505e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,1,0.0,,,,,,100,,,,,7.538414337204813e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,1,0.0,,,,,,500,,,,,8.670841822322473e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,2,0.0,,,,,,100,,,,,7.560618797697316e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,2,0.0,,,,,,500,,,,,7.560618797697316e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,3,0.0,,,,,,100,,,,,8.781864124784988e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,3,0.0,,,,,,500,,,,,8.781864124784988e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,4,0.0,,,,,,100,,,,,8.149037000748649e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,4,0.0,,,,,,500,,,,,9.053868765818152e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,5,0.0,,,,,,100,,,,,7.310818617156656e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,5,0.0,,,,,,500,,,,,8.171241461241152e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,6,0.0,,,,,,100,,,,,7.405187574249794e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,6,0.0,,,,,,500,,,,,7.405187574249794e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,7,0.0,,,,,,100,,,,,5.184741524999481e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,7,0.0,,,,,,500,,,,,6.089573290068984e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,8,0.0,,,,,,100,,,,,7.271960811294775e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,8,0.0,,,,,,500,,,,,7.271960811294775e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,9,0.0,,,,,,100,,,,,7.960299086562372e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,9,0.0,,,,,,500,,,,,7.960299086562372e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,10,0.0,,,,,,100,,,,,7.099876242477876e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,10,0.0,,,,,,500,,,,,7.099876242477876e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,11,0.0,,,,,,100,,,,,8.58202398035246e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,11,0.0,,,,,,500,,,,,8.58202398035246e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,12,0.0,,,,,,100,,,,,7.249756350802272e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,12,0.0,,,,,,500,,,,,7.249756350802272e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,13,0.0,,,,,,100,,,,,6.98885394001536e-14,0.0,0.0,0.0,1.0,0.0
mwu,exact,13,0.0,,,,,,500,,,,,7.80486786311485e-14,0.0,0.0,0.0,1.0,0.0
