construction,sweep,beta,beta_max,sigma,dim,rho,T,max_pred_err_mean,w_linf_mean,w_l1_mean,max_w_linf_mean,decision_agree_mean,regret_diff_mean,max_cos_mean,diverged_mean,max_pred_err_sem,w_linf_sem,w_l1_sem,max_w_linf_sem,decision_agree_sem,regret_diff_sem,n
mwu,beta_route,1.0,,,,,100,0.5426113408845274,0.5833358965294544,1.1678500407768961,0.6511993651628322,0.8464592686809181,7.25,0.0,0.0,0.01855808007276389,0.06934032529171727,0.13833681956068977,0.05706019945698203,0.024541761031411934,2.116196936413105,20
mwu,beta_route,1.0,,,,,500,0.7679040210203588,0.546638225290933,1.093276450581866,0.7183886319624848,0.7919758042310248,45.05,0.0,0.0,0.04897352079244373,0.10496470352652461,0.20992940705304924,0.0657790207981684,0.042601123547626546,13.864470874562036,20
mwu,beta_route,2.0,,,,,100,0.4761763355309581,0.47622088990500044,0.9524417798100009,0.5490467688376724,0.8734381220154417,5.2,0.0,0.0,0.029002946692389335,0.056855735993631036,0.11371147198726207,0.04805087036349391,0.022226513262458086,1.5262613420415674,20
mwu,beta_route,2.0,,,,,500,0.6784307343446045,0.4443682346053618,0.8887364692107236,0.6444678699433511,0.8179192641778348,35.55,0.0,0.0,0.06394942893983446,0.10413921564126853,0.2082784312825371,0.06785621272354365,0.04131899662838259,11.975298040462071,20
mwu,beta_route,5.0,,,,,100,0.07241745900844143,0.07675295002909445,0.15499795521921733,0.08183026635088056,0.9843065283595476,0.2,0.0,0.0,0.007434824730357467,0.009854339814173697,0.01949489773117557,0.009335387674788908,0.004376295429461372,0.3524351377428044,20
mwu,beta_route,5.0,,,,,500,0.22841518886722395,0.12306215767571353,0.24612431535142712,0.21103357281029367,0.9711753329855917,1.65,0.0,0.0,0.0555243763149015,0.056807837490543016,0.11361567498108603,0.052073711598274085,0.013928063750968691,1.0545016283584043,20
mwu,beta_route,10.0,,,,,100,0.0005182598062267979,0.0005377854511194214,0.0010841365175277378,0.0005697719050810124,1.0,-0.05,0.0,0.0,5.294217314081421e-05,6.497482275154507e-05,0.00012916414946319887,6.256927006165357e-05,0.0,0.11413288653790231,20
mwu,beta_route,10.0,,,,,500,0.0018289434066302013,0.0009677046066445195,0.0019354094510964797,0.0018388410854989989,0.9997999999999999,0.05,0.0,0.0,0.0003507105655020329,0.0003119783154814292,0.0006239566463508455,0.0002891377430298892,0.00019999999999999668,0.1534686664402456,20
mwu,beta_route,20.0,,,,,100,2.3537418419872225e-08,2.4418449609542314e-08,4.922542716867626e-08,2.5869882250284526e-08,1.0,-0.05,0.0,0.0,2.404272951513357e-09,2.948535300330848e-09,5.861586909605815e-09,2.839664260560364e-09,0.0,0.11413288653790231,20
mwu,beta_route,20.0,,,,,500,8.302142931529422e-08,4.410297349786985e-08,8.820595872647681e-08,8.353008820183306e-08,1.0,-0.05,0.0,0.0,1.579980812165339e-08,1.4078179371158852e-08,2.8156359521530202e-08,1.3045171394276599e-08,0.0,0.11413288653790231,20
mwu,beta_route,50.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,50.0,,,,,500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
mwu,beta_route,100.0,,,,,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
