construction,sweep,beta,beta_max,sigma,dim,rho,T,max_err_mean,final_err_mean,greedy_agree_mean,select_agree_mean,max_cos_mean,diverged_mean,max_err_sem,final_err_sem,greedy_agree_sem,select_agree_sem,n
q,beta_max,,1.0,,,,100,0.45983654499232784,0.4564505839458078,0.9875932201234108,0.5689072532873468,0.0,0.0,0.03226893741949046,0.031612443628054904,0.004656422847011147,0.03047647472346541,20
q,beta_max,,1.0,,,,500,2.3198814729762516,2.3057620798118874,0.9481374658683288,0.6384271459140095,0.0,0.0,0.10127841160935208,0.1002496552335547,0.016600831226271585,0.027650719201933672,20
q,beta_max,,2.0,,,,100,0.43724477085053176,0.4342318223006051,0.9885599921772201,0.6952894886046843,0.0,0.0,0.029441571980141936,0.028860267700901332,0.004623626885936958,0.024259409141161748,20
q,beta_max,,2.0,,,,500,2.1692392583444233,2.159313195406481,0.9651861596052227,0.8605101471277485,0.0,0.0,0.08904616891437016,0.08826495910890043,0.014188359100102186,0.019991983433159537,20
q,beta_max,,5.0,,,,100,0.28221390863783075,0.28182969957564585,0.9946761337137818,0.8789864116365038,0.0,0.0,0.010551350445774156,0.010530005431513998,0.0025971335507634224,0.013192032101872846,20
q,beta_max,,5.0,,,,500,0.47242643091499126,0.3771494691122752,0.995147327624324,0.9704131853274992,0.0,0.0,0.031059671635286116,0.03979272229208606,0.0030691423174744738,0.006316768587810601,20
q,beta_max,,10.0,,,,100,0.10090507934638863,0.10027598994943447,0.9922661457122223,0.9541477569292514,0.0,0.0,0.0040165085407563835,0.004106573698469245,0.002700613782834371,0.0058832714756220945,20
q,beta_max,,10.0,,,,500,0.11114940995324263,0.06862063748850002,0.9980645737051196,0.9911908094296903,0.0,0.0,0.005964755497391234,0.005058974019901773,0.000652230037027136,0.0011015942695426694,20
q,beta_max,,20.0,,,,100,0.03087208384132683,0.02833709620818996,0.9949569321672371,0.9872156720469372,0.0,0.0,0.001580709044506515,0.0017101914335658874,0.002328351179485519,0.0023883116754983514,20
q,beta_max,,20.0,,,,500,0.03087208384132683,0.01570573524798871,0.9990388631168908,0.9975702259870344,0.0,0.0,0.001580709044506515,0.0010697270889103022,0.000443907873652252,0.0004548999701568351,20
q,beta_max,,50.0,,,,100,0.00563213528894963,0.00438490855474552,1.0,0.9989247311827956,0.0,0.0,0.0003753699452294639,0.00032608094337761287,0.0,0.0010752688172042998,20
q,beta_max,,50.0,,,,500,0.00563213528894963,0.0024902871701180497,1.0,0.9997971602434077,0.0,0.0,0.0003753699452294639,0.00021511013809942075,0.0,0.00020283975659229477,20
q,beta_max,,100.0,,,,100,0.0014297705544418892,0.000986124849360429,0.9985989492119088,0.9994565217391305,0.0,0.0,0.0001414361855445996,0.00010783605886332051,0.001401050788091066,0.0005434782608695655,20
q,beta_max,,100.0,,,,500,0.0014297705544418892,0.0005369478543905959,0.9997307303938069,0.9998983739837399,0.0,0.0,0.0001414361855445996,7.388930792931464e-05,0.0002692696061931984,0.00010162601626016572,20
q,beta_max,,1000.0,,,,100,4.52079225250028e-06,3.231372520438869e-06,1.0,1.0,0.0,0.0,1.7989899128600759e-06,1.4148997877150148e-06,0.0,0.0,20
q,beta_max,,1000.0,,,,500,5.852025472804015e-06,1.529464103988687e-06,1.0,1.0,0.0,0.0,2.019888489793365e-06,5.549945918386052e-07,0.0,0.0,20
q,beta_max,,10000.0,,,,100,4.849223897082644e-08,4.530664503010762e-08,1.0,1.0,0.0,0.0,1.5685037233556894e-08,1.385328535421211e-08,0.0,0.0,20
q,beta_max,,10000.0,,,,500,2.528843989858809e-07,2.4891815558758523e-07,1.0,1.0,0.0,0.0,1.2747398908516972e-08,1.1914453454965942e-08,0.0,0.0,20
q,beta_max,,1000000.0,,,,100,3.220914496504523e-08,3.179856507273815e-08,1.0,1.0,0.0,0.0,2.1398748590929358e-09,2.0573382084352025e-09,0.0,0.0,20
q,beta_max,,1000000.0,,,,500,2.505635978700127e-07,2.490423840484368e-07,1.0,1.0,0.0,0.0,1.1989519285007931e-08,1.1862328839112085e-08,0.0,0.0,20
q,beta_route,1.0,,,,,100,0.6208896616667517,0.6146087923707804,0.9862569609912208,0.8704020334773551,0.0,0.0,0.0304387745539338,0.02892546705325277,0.005786489429280306,0.015235297589306742,20
q,beta_route,1.0,,,,,500,1.9460730086772162,1.9447568602372307,0.9959262082101406,0.9252751084340316,0.0,0.0,0.08073189335074989,0.08058441868154155,0.0016746864826774192,0.013858175648507935,20
