construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
q,exact,16,0.0,,,,,,100,2.5020789440333147e-08,2.4337187598533205e-08,1.0,1.0,,,,,,
q,exact,16,0.0,,,,,,500,2.276912147713972e-07,2.276912147713972e-07,1.0,1.0,,,,,,
q,exact,17,0.0,,,,,,100,2.953205169298201e-08,2.858495296020891e-08,1.0,1.0,,,,,,
q,exact,17,0.0,,,,,,500,2.9474774221327493e-07,2.9474774221327493e-07,1.0,1.0,,,,,,
q,exact,18,0.0,,,,,,100,1.6576325786513135e-05,1.4917911233286452e-05,1.0,1.0,,,,,,
q,exact,18,0.0,,,,,,500,1.6576325786513135e-05,7.828847059743183e-06,1.0,1.0,,,,,,
q,exact,19,0.0,,,,,,100,2.5587251595848848e-06,1.1611252107579517e-06,1.0,1.0,,,,,,
q,exact,19,0.0,,,,,,500,2.5587251595848848e-06,1.884561144915864e-07,1.0,1.0,,,,,,
q,exact,12,0.0,,,,,,100,3.279982063730813e-08,3.279982063730813e-08,1.0,1.0,,,,,,
q,exact,12,0.0,,,,,,500,2.337195317281271e-07,2.323051733199577e-07,1.0,1.0,,,,,,
q,exact,13,0.0,,,,,,100,4.5846684892936196e-08,4.5846684892936196e-08,1.0,1.0,,,,,,
q,exact,13,0.0,,,,,,500,2.4414673971184797e-05,7.547016205089463e-06,1.0,1.0,,,,,,
q,exact,14,0.0,,,,,,100,1.580745818546836e-07,1.183234092927421e-07,1.0,1.0,,,,,,
q,exact,14,0.0,,,,,,500,2.505869689528595e-07,2.505869689528595e-07,1.0,1.0,,,,,,
q,exact,15,0.0,,,,,,100,2.5669270931061305e-08,2.5669270931061305e-08,1.0,1.0,,,,,,
q,exact,15,0.0,,,,,,500,1.937316445044246e-07,1.937316445044246e-07,1.0,1.0,,,,,,
q,exact,0,0.0,,,,,,100,3.028879302924281e-08,3.028879302924281e-08,1.0,1.0,,,,,,
q,exact,0,0.0,,,,,,500,2.2809529198752898e-07,2.2809529198752898e-07,1.0,1.0,,,,,,
q,exact,1,0.0,,,,,,100,3.0527475880504085e-08,2.952630473451734e-08,1.0,1.0,,,,,,
