checkpoint,rule,agree_model,agree_teacher,n
coconut_transformer_qlv3-residual.pt,Q alpha=0.05,0.901498023266095,0.9152088517260107,316684
coconut_transformer_qlv3-residual.pt,Q alpha=0.1,0.932950832082161,0.952973794774095,317036
coconut_transformer_qlv3-residual.pt,Q alpha=0.2,0.9499191838355068,1.0,317387
coconut_transformer_qlv3-residual.pt,Q alpha=0.3,0.9306022594173877,0.9616566541983098,317604
coconut_transformer_qlv3-residual.pt,Q alpha=0.5,0.8710994642514464,0.8912081239992072,317873
coconut_transformer_qlv3-residual.pt,Q alpha=0.7,0.8065567997081954,0.8225746098528085,318021
coconut_transformer_qlv3-residual.pt,Q alpha=1,0.7019424526018302,0.7136304907529951,318103
coconut_transformer_qlv3-residual.pt,last reward,0.6106806965266784,0.6195766210385821,322170
coconut_transformer_qlv3-discrete.pt,Q alpha=0.05,0.5626397291937705,0.9152088517260107,316684
coconut_transformer_qlv3-discrete.pt,Q alpha=0.1,0.572360867535548,0.952973794774095,317036
coconut_transformer_qlv3-discrete.pt,Q alpha=0.2,0.5760664425449058,1.0,317387
coconut_transformer_qlv3-discrete.pt,Q alpha=0.3,0.5697157466530648,0.9616566541983098,317604
coconut_transformer_qlv3-discrete.pt,Q alpha=0.5,0.5515064192303215,0.8912081239992072,317873
coconut_transformer_qlv3-discrete.pt,Q alpha=0.7,0.5321126592269064,0.8225746098528085,318021
coconut_transformer_qlv3-discrete.pt,Q alpha=1,0.49861837203673026,0.7136304907529951,318103
coconut_transformer_qlv3-discrete.pt,last reward,0.4563429245429432,0.6195766210385821,322170
coconut_transformer_qlv3-overwrite.pt,Q alpha=0.05,0.8747615919970696,0.9152088517260107,316684
coconut_transformer_qlv3-overwrite.pt,Q alpha=0.1,0.9004907959979308,0.952973794774095,317036
coconut_transformer_qlv3-overwrite.pt,Q alpha=0.2,0.9107682419254727,1.0,317387
coconut_transformer_qlv3-overwrite.pt,Q alpha=0.3,0.8896078135036083,0.9616566541983098,317604
coconut_transformer_qlv3-overwrite.pt,Q alpha=0.5,0.8329458620266584,0.8912081239992072,317873
coconut_transformer_qlv3-overwrite.pt,Q alpha=0.7,0.77198046669874,0.8225746098528085,318021
coconut_transformer_qlv3-overwrite.pt,Q alpha=1,0.6745613842057446,0.7136304907529951,318103
coconut_transformer_qlv3-overwrite.pt,last reward,0.594456342924543,0.6195766210385821,322170
