checkpoint,target,r2,alpha,n_rows
coconut_transformer_bootstrapcont_lr3e-4-continuous.pt,q_g0.9,0.4535267152986089,0.5,45930
coconut_transformer_bootstrapcont_lr3e-4-continuous.pt,q_g0,0.42379281987743567,0.5,45930
coconut_transformer_bootstrapcont_lr3e-4-continuous.pt,counts,0.4199586946402478,0.5,45930
coconut_transformer_bootstrapcont_lr3e-4-continuous.pt,bootstrap_term,0.29283199528493964,0.5,45930
coconut_transformer_bootstrap-continuous.pt,q_g0.9,0.29841891397064313,0.5,45930
coconut_transformer_bootstrap-continuous.pt,q_g0,0.27568616294118453,0.5,45930
coconut_transformer_bootstrap-continuous.pt,counts,0.24423730236374974,0.5,45930
coconut_transformer_bootstrap-continuous.pt,bootstrap_term,0.18384744863017355,0.5,45930
coconut_transformer_bootstrapcont-discrete.pt,q_g0.9,0.016582337913415457,0.5,45930
coconut_transformer_bootstrapcont-discrete.pt,q_g0,0.011183304521145465,0.5,45930
coconut_transformer_bootstrapcont-discrete.pt,counts,0.01629424486294806,0.5,45930
coconut_transformer_bootstrapcont-discrete.pt,bootstrap_term,0.012377776447470956,0.5,45930
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,q_g0.9,0.5720108622078228,0.5,45930
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,q_g0,0.5721912715254891,0.5,45930
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,counts,0.49582701772881255,0.5,45930
coconut_transformer_coconut-v4-mixed-20260502-1646.pt,bootstrap_term,0.3247630274124492,0.5,45930
