checkpoint,target,r2,alpha,n_rows
coconut_transformer_qlv3-residual.pt,q_g0.9,0.7134788854358223,0.2,135894
coconut_transformer_qlv3-residual.pt,q_g0,0.5184545818492208,0.2,135894
coconut_transformer_qlv3-residual.pt,counts,0.8925779244088157,0.2,135894
coconut_transformer_qlv3-residual.pt,bootstrap_term,0.6179592655531737,0.2,135894
coconut_transformer_qlv3-discrete.pt,q_g0.9,-0.0034234107162935956,0.2,135894
coconut_transformer_qlv3-discrete.pt,q_g0,-0.003471376552236727,0.2,135894
coconut_transformer_qlv3-discrete.pt,counts,0.007013586761407287,0.2,135894
coconut_transformer_qlv3-discrete.pt,bootstrap_term,-0.002590710310181654,0.2,135894
coconut_transformer_qlv3-overwrite.pt,q_g0.9,0.2220321243862009,0.2,135894
coconut_transformer_qlv3-overwrite.pt,q_g0,0.17704940308005723,0.2,135894
coconut_transformer_qlv3-overwrite.pt,counts,0.18690399375323008,0.2,135894
coconut_transformer_qlv3-overwrite.pt,bootstrap_term,0.17176064527177515,0.2,135894
