block,condition,agent,seed,return,opt_frac,gap_regret,model
reward_intervention,eval/intact,tf_legacy,9999,99.80231475830078,0.16,44.16931629180908,overwrite
reward_intervention,eval/intact,tf_legacy,10000,120.51399230957031,0.36,42.757423877716064,overwrite
reward_intervention,eval/intact,tf_legacy,10001,90.4211654663086,0.265,53.837318897247314,overwrite
reward_intervention,eval/intact,tf_legacy,10002,94.20643615722656,0.25,58.41847562789917,overwrite
reward_intervention,eval/intact,tf_legacy,10003,110.84437561035156,0.405,50.70092725753784,overwrite
reward_intervention,eval/intact,tf_legacy,10004,101.8946762084961,0.405,46.030529499053955,overwrite
reward_intervention,eval/intact,tf_legacy,10005,105.00921630859375,0.415,54.60646057128906,overwrite
reward_intervention,eval/intact,tf_legacy,10006,74.03080749511719,0.1,72.78863859176636,overwrite
reward_intervention,eval/intact,tf_legacy,10007,99.12252807617188,0.15,54.78709650039673,overwrite
reward_intervention,eval/intact,tf_legacy,10008,84.39555358886719,0.15,74.06763696670532,overwrite
reward_intervention,eval/intact,tf_legacy,10009,83.92378234863281,0.185,69.94704103469849,overwrite
reward_intervention,eval/intact,tf_legacy,10010,115.91012573242188,0.48,28.956729412078857,overwrite
reward_intervention,eval/intact,tf_legacy,10011,114.24246215820312,0.37,43.008427143096924,overwrite
reward_intervention,eval/intact,tf_legacy,10012,103.15512084960938,0.245,66.58659982681274,overwrite
reward_intervention,eval/intact,tf_legacy,10013,126.05596923828125,0.405,32.94670009613037,overwrite
reward_intervention,eval/intact,tf_legacy,10014,90.18583679199219,0.315,64.36968088150024,overwrite
reward_intervention,eval/intact,tf_legacy,10015,107.2688980102539,0.23,41.378074169158936,overwrite
reward_intervention,eval/intact,tf_legacy,10016,82.67515563964844,0.055,56.215383529663086,overwrite
reward_intervention,eval/intact,tf_legacy,10017,125.91197967529297,0.41,18.232040405273438,overwrite
reward_intervention,eval/intact,tf_legacy,10018,85.1383056640625,0.12,62.34759569168091,overwrite
reward_intervention,eval/intact,tf_legacy,10019,89.6064224243164,0.115,60.908570289611816,overwrite
reward_intervention,eval/intact,tf_legacy,10020,116.2900390625,0.34,22.938632011413574,overwrite
reward_intervention,eval/intact,tf_legacy,10021,102.81318664550781,0.375,45.12104797363281,overwrite
reward_intervention,eval/intact,tf_legacy,10022,91.47581481933594,0.14,61.387099266052246,overwrite
reward_intervention,eval/intact,tf_legacy,10023,95.95158386230469,0.335,44.92589473724365,overwrite
reward_intervention,eval/intact,tf_legacy,10024,109.86614990234375,0.305,34.73100805282593,overwrite
reward_intervention,eval/intact,tf_legacy,10025,104.16621398925781,0.315,36.85362100601196,overwrite
reward_intervention,eval/intact,tf_legacy,10026,105.48139190673828,0.44,31.19102382659912,overwrite
reward_intervention,eval/intact,tf_legacy,10027,93.42182159423828,0.315,51.58875799179077,overwrite
reward_intervention,eval/intact,tf_legacy,10028,94.06343841552734,0.275,57.73181438446045,overwrite
reward_intervention,eval/intact,tf_legacy,10029,100.83193969726562,0.21,40.832082748413086,overwrite
reward_intervention,eval/intact,tf_legacy,10030,102.22528076171875,0.3,48.42558288574219,overwrite
reward_intervention,eval/intact,tf_legacy,10031,100.95417022705078,0.275,46.13679552078247,overwrite
reward_intervention,eval/intact,tf_legacy,10032,102.37934875488281,0.41,20.743370532989502,overwrite
reward_intervention,eval/intact,tf_legacy,10033,101.10040283203125,0.31,59.88778877258301,overwrite
reward_intervention,eval/intact,tf_legacy,10034,89.0975341796875,0.19,61.09781503677368,overwrite
reward_intervention,eval/intact,tf_legacy,10035,92.93831634521484,0.095,74.72096347808838,overwrite
reward_intervention,eval/intact,tf_legacy,10036,107.19134521484375,0.255,49.077903270721436,overwrite
reward_intervention,eval/intact,tf_legacy,10037,109.52291870117188,0.37,26.12189292907715,overwrite
reward_intervention,eval/intact,tf_legacy,10038,104.58476257324219,0.15,35.98391819000244,overwrite
reward_intervention,eval/intact,tf_legacy,10039,116.34261322021484,0.17,31.13073444366455,overwrite
reward_intervention,eval/intact,tf_legacy,10040,96.47725677490234,0.375,56.75033378601074,overwrite
reward_intervention,eval/intact,tf_legacy,10041,93.60338592529297,0.275,46.967345237731934,overwrite
reward_intervention,eval/intact,tf_legacy,10042,115.06180572509766,0.295,39.1885199546814,overwrite
reward_intervention,eval/intact,tf_legacy,10043,123.10555267333984,0.495,30.51481342315674,overwrite
reward_intervention,eval/intact,tf_legacy,10044,76.53923034667969,0.2,69.35141468048096,overwrite
reward_intervention,eval/intact,tf_legacy,10045,99.03731536865234,0.26,44.58181953430176,overwrite
reward_intervention,eval/intact,tf_legacy,10046,119.944091796875,0.49,32.27335023880005,overwrite
reward_intervention,eval/intact,tf_legacy,10047,100.88705444335938,0.05,61.92068338394165,overwrite
reward_intervention,eval/intact,tf_legacy,10048,122.31402587890625,0.315,35.138033390045166,overwrite
reward_intervention,eval/intact,tf_self,9999,106.70103454589844,0.405,39.412012577056885,overwrite
reward_intervention,eval/intact,tf_self,10000,139.49755859375,0.515,23.452723503112793,overwrite
reward_intervention,eval/intact,tf_self,10001,98.6787109375,0.19,44.456799030303955,overwrite
reward_intervention,eval/intact,tf_self,10002,122.18588256835938,0.49,31.680917263031006,overwrite
reward_intervention,eval/intact,tf_self,10003,122.27976989746094,0.505,37.1852765083313,overwrite
reward_intervention,eval/intact,tf_self,10004,118.79259490966797,0.545,29.05524444580078,overwrite
reward_intervention,eval/intact,tf_self,10005,127.82984924316406,0.49,28.739912033081055,overwrite
reward_intervention,eval/intact,tf_self,10006,127.92083740234375,0.445,19.30928373336792,overwrite
reward_intervention,eval/intact,tf_self,10007,121.21549987792969,0.36,33.035584449768066,overwrite
reward_intervention,eval/intact,tf_self,10008,104.08798217773438,0.41,54.68851566314697,overwrite
reward_intervention,eval/intact,tf_self,10009,131.06161499023438,0.435,22.34792995452881,overwrite
reward_intervention,eval/intact,tf_self,10010,86.87008666992188,0.19,57.66688251495361,overwrite
reward_intervention,eval/intact,tf_self,10011,105.6595458984375,0.4,49.70258140563965,overwrite
reward_intervention,eval/intact,tf_self,10012,103.3040542602539,0.0,64.88901615142822,overwrite
reward_intervention,eval/intact,tf_self,10013,103.65481567382812,0.075,53.63963985443115,overwrite
reward_intervention,eval/intact,tf_self,10014,91.49574279785156,0.35,64.66314220428467,overwrite
reward_intervention,eval/intact,tf_self,10015,118.02769470214844,0.33,29.89507818222046,overwrite
reward_intervention,eval/intact,tf_self,10016,109.41792297363281,0.33,29.897286415100098,overwrite
reward_intervention,eval/intact,tf_self,10017,98.10748291015625,0.325,49.06065273284912,overwrite
reward_intervention,eval/intact,tf_self,10018,103.75487518310547,0.32,43.81443166732788,overwrite
reward_intervention,eval/intact,tf_self,10019,124.26155090332031,0.415,28.162400245666504,overwrite
reward_intervention,eval/intact,tf_self,10020,122.91831970214844,0.53,14.855912208557129,overwrite
reward_intervention,eval/intact,tf_self,10021,68.84071350097656,0.165,77.7740044593811,overwrite
reward_intervention,eval/intact,tf_self,10022,93.77605438232422,0.125,59.5436954498291,overwrite
reward_intervention,eval/intact,tf_self,10023,99.2900619506836,0.135,42.666022300720215,overwrite
reward_intervention,eval/intact,tf_self,10024,103.92994689941406,0.39,40.83706045150757,overwrite
reward_intervention,eval/intact,tf_self,10025,92.13075256347656,0.095,48.718162059783936,overwrite
reward_intervention,eval/intact,tf_self,10026,89.28754425048828,0.2,44.44154357910156,overwrite
reward_intervention,eval/intact,tf_self,10027,78.03549194335938,0.265,62.73381471633911,overwrite
reward_intervention,eval/intact,tf_self,10028,83.40872192382812,0.295,68.1527156829834,overwrite
reward_intervention,eval/intact,tf_self,10029,129.09121704101562,0.645,13.060972213745117,overwrite
reward_intervention,eval/intact,tf_self,10030,77.06377410888672,0.11,66.80700969696045,overwrite
reward_intervention,eval/intact,tf_self,10031,91.13362121582031,0.19,54.75507211685181,overwrite
reward_intervention,eval/intact,tf_self,10032,85.8599853515625,0.105,35.56289005279541,overwrite
reward_intervention,eval/intact,tf_self,10033,112.138671875,0.29,48.68441152572632,overwrite
reward_intervention,eval/intact,tf_self,10034,120.31694030761719,0.26,29.361799716949463,overwrite
reward_intervention,eval/intact,tf_self,10035,104.6290283203125,0.28,62.37669515609741,overwrite
reward_intervention,eval/intact,tf_self,10036,93.01797485351562,0.165,65.38719081878662,overwrite
reward_intervention,eval/intact,tf_self,10037,95.98873901367188,0.305,42.2198486328125,overwrite
reward_intervention,eval/intact,tf_self,10038,109.69822692871094,0.185,31.085061073303223,overwrite
reward_intervention,eval/intact,tf_self,10039,133.85752868652344,0.5,14.681248188018799,overwrite
reward_intervention,eval/intact,tf_self,10040,108.03687286376953,0.16,45.87672233581543,overwrite
reward_intervention,eval/intact,tf_self,10041,88.13202667236328,0.34,51.819671630859375,overwrite
reward_intervention,eval/intact,tf_self,10042,121.35246276855469,0.345,34.839720249176025,overwrite
reward_intervention,eval/intact,tf_self,10043,88.00824737548828,0.2,66.44262647628784,overwrite
reward_intervention,eval/intact,tf_self,10044,99.7903823852539,0.29,44.81542158126831,overwrite
reward_intervention,eval/intact,tf_self,10045,99.56444549560547,0.325,44.70521020889282,overwrite
reward_intervention,eval/intact,tf_self,10046,61.52685546875,0.175,93.89014720916748,overwrite
reward_intervention,eval/intact,tf_self,10047,87.80928039550781,0.105,74.51777076721191,overwrite
reward_intervention,eval/intact,tf_self,10048,100.54450988769531,0.235,57.29078722000122,overwrite
reward_intervention,eval/intact,optimal,9999,141.20579528808594,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10000,160.66639709472656,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10001,145.31277465820312,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10002,154.31651306152344,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10003,159.40057373046875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10004,149.41934204101562,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10005,156.21694946289062,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10006,145.3865203857422,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10007,155.88116455078125,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10008,157.59585571289062,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10009,153.279296875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10010,150.4432373046875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10011,154.8956298828125,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10012,163.3168182373047,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10013,157.58216857910156,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10014,153.15005493164062,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10015,150.13525390625,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10016,136.85256958007812,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10017,149.96990966796875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10018,145.6324462890625,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10019,152.00038146972656,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10020,139.1854248046875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10021,146.62905883789062,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10022,151.38845825195312,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10023,140.74717712402344,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10024,145.08932495117188,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10025,141.3740234375,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10026,133.78631591796875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10027,141.1024169921875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10028,158.6577606201172,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10029,139.73892211914062,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10030,153.2302703857422,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10031,148.677001953125,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10032,118.6419906616211,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10033,160.3961944580078,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10034,151.35794067382812,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10035,167.00559997558594,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10036,152.4580535888672,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10037,138.62362670898438,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10038,139.50601196289062,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10039,155.94541931152344,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10040,149.40174865722656,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10041,143.17428588867188,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10042,156.06277465820312,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10043,153.32635498046875,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10044,144.0423583984375,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10045,145.1358642578125,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10046,152.8437042236328,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10047,164.7223663330078,1.0,0.0,overwrite
reward_intervention,eval/intact,optimal,10048,156.09974670410156,1.0,0.0,overwrite
reward_intervention,eval/intact,epsgreedy,9999,111.88276672363281,0.25,32.073606967926025,overwrite
reward_intervention,eval/intact,epsgreedy,10000,129.6103515625,0.425,33.19758081436157,overwrite
reward_intervention,eval/intact,epsgreedy,10001,126.23648834228516,0.635,19.894701957702637,overwrite
reward_intervention,eval/intact,epsgreedy,10002,133.37445068359375,0.445,23.65154218673706,overwrite
reward_intervention,eval/intact,epsgreedy,10003,118.12741088867188,0.17,41.914522647857666,overwrite
reward_intervention,eval/intact,epsgreedy,10004,103.2706298828125,0.37,45.20268726348877,overwrite
reward_intervention,eval/intact,epsgreedy,10005,94.21463775634766,0.255,64.26208639144897,overwrite
reward_intervention,eval/intact,epsgreedy,10006,122.41961669921875,0.435,23.949037551879883,overwrite
reward_intervention,eval/intact,epsgreedy,10007,133.60720825195312,0.29,21.518788814544678,overwrite
reward_intervention,eval/intact,epsgreedy,10008,117.58805847167969,0.4,41.13453531265259,overwrite
reward_intervention,eval/intact,epsgreedy,10009,99.62199401855469,0.25,52.943599224090576,overwrite
reward_intervention,eval/intact,epsgreedy,10010,122.91931915283203,0.605,26.040103912353516,overwrite
reward_intervention,eval/intact,epsgreedy,10011,106.62991333007812,0.235,48.34310722351074,overwrite
reward_intervention,eval/intact,epsgreedy,10012,106.65526580810547,0.285,59.93489217758179,overwrite
reward_intervention,eval/intact,epsgreedy,10013,111.61190795898438,0.03,47.36269569396973,overwrite
reward_intervention,eval/intact,epsgreedy,10014,113.45285034179688,0.35,42.01000118255615,overwrite
reward_intervention,eval/intact,epsgreedy,10015,104.2540283203125,0.12,44.77756452560425,overwrite
reward_intervention,eval/intact,epsgreedy,10016,94.43790435791016,0.16,44.36427688598633,overwrite
reward_intervention,eval/intact,epsgreedy,10017,119.9233627319336,0.53,26.329591274261475,overwrite
reward_intervention,eval/intact,epsgreedy,10018,98.57391357421875,0.31,46.52860116958618,overwrite
reward_intervention,eval/intact,epsgreedy,10019,104.0965576171875,0.305,46.092562198638916,overwrite
reward_intervention,eval/intact,epsgreedy,10020,104.0599365234375,0.26,33.49714756011963,overwrite
reward_intervention,eval/intact,epsgreedy,10021,108.78853607177734,0.59,38.070897579193115,overwrite
reward_intervention,eval/intact,epsgreedy,10022,103.73979187011719,0.23,50.53535270690918,overwrite
reward_intervention,eval/intact,epsgreedy,10023,92.82368469238281,0.33,47.84731388092041,overwrite
reward_intervention,eval/intact,epsgreedy,10024,118.53903198242188,0.435,25.671926498413086,overwrite
reward_intervention,eval/intact,epsgreedy,10025,101.91458892822266,0.355,41.49953031539917,overwrite
reward_intervention,eval/intact,epsgreedy,10026,113.40237426757812,0.41,21.455662727355957,overwrite
reward_intervention,eval/intact,epsgreedy,10027,103.88917541503906,0.395,37.007994174957275,overwrite
reward_intervention,eval/intact,epsgreedy,10028,82.45565795898438,0.06,67.1092529296875,overwrite
reward_intervention,eval/intact,epsgreedy,10029,103.25316619873047,0.415,39.509706020355225,overwrite
reward_intervention,eval/intact,epsgreedy,10030,111.44364929199219,0.37,35.254743576049805,overwrite
reward_intervention,eval/intact,epsgreedy,10031,114.28459167480469,0.335,35.81432914733887,overwrite
