block,condition,agent,seed,return,opt_frac,gap_regret,model,agreement,tf_pred_true_opt,teacher_true_opt
size_sweep,2x2,tf_legacy,9999,10.000001907348633,0.0,189.99996185302734,overwrite,,,
size_sweep,2x2,tf_legacy,10000,117.35000610351562,0.565,82.6499834060669,overwrite,,,
size_sweep,2x2,tf_legacy,10001,133.5,0.65,66.50001621246338,overwrite,,,
size_sweep,2x2,tf_legacy,10002,11.90000057220459,0.01,188.09996223449707,overwrite,,,
size_sweep,2x2,tf_legacy,10003,197.14999389648438,0.985,2.8500022888183594,overwrite,,,
size_sweep,2x2,tf_legacy,10004,191.4499969482422,0.955,8.550006866455078,overwrite,,,
size_sweep,2x2,tf_legacy,10005,69.85000610351562,0.315,130.15010452270508,overwrite,,,
size_sweep,2x2,tf_legacy,10006,173.39999389648438,0.86,26.599994659423828,overwrite,,,
size_sweep,2x2,tf_legacy,10007,183.85000610351562,0.915,16.149996757507324,overwrite,,,
size_sweep,2x2,tf_legacy,10008,10.000001907348633,0.0,190.00001335144043,overwrite,,,
size_sweep,2x2,tf_legacy,10009,43.24999237060547,0.175,156.75012588500977,overwrite,,,
size_sweep,2x2,tf_legacy,10010,58.450008392333984,0.255,141.54997158050537,overwrite,,,
size_sweep,2x2,tf_legacy,10011,167.70001220703125,0.83,32.29999351501465,overwrite,,,
size_sweep,2x2,tf_legacy,10012,81.25,0.375,118.75009536743164,overwrite,,,
size_sweep,2x2,tf_legacy,10013,10.000001907348633,0.0,190.00003147125244,overwrite,,,
size_sweep,2x2,tf_legacy,10014,137.30001831054688,0.67,62.69998741149902,overwrite,,,
size_sweep,2x2,tf_legacy,10015,28.049999237060547,0.095,171.94996547698975,overwrite,,,
size_sweep,2x2,tf_legacy,10016,198.10000610351562,0.99,1.8999996185302734,overwrite,,,
size_sweep,2x2,tf_legacy,10017,105.0,0.5,94.99998092651367,overwrite,,,
size_sweep,2x2,tf_legacy,10018,193.35000610351562,0.965,6.649998664855957,overwrite,,,
