block,condition,agent,seed,return,opt_frac,gap_regret,model
long_horizon,eval,tf_self,9999,604.5775146484375,0.522,120.87594747543335,overwrite
long_horizon,eval,tf_self,10000,727.5623168945312,0.554,86.4380521774292,overwrite
long_horizon,eval,tf_self,10001,481.96661376953125,0.17,244.41037559509277,overwrite
long_horizon,eval,tf_self,10002,585.67041015625,0.408,181.40887212753296,overwrite
long_horizon,eval,tf_self,10003,587.9937133789062,0.469,211.49477434158325,overwrite
long_horizon,eval,tf_self,10004,600.2943115234375,0.583,143.03142786026,overwrite
long_horizon,eval,tf_self,10005,611.378662109375,0.583,172.81518268585205,overwrite
long_horizon,eval,tf_self,10006,639.6860961914062,0.474,99.75690841674805,overwrite
long_horizon,eval,tf_self,10007,620.8075561523438,0.333,160.75407695770264,overwrite
long_horizon,eval,tf_self,10008,539.6905517578125,0.449,247.8767900466919,overwrite
long_horizon,eval,tf_self,10009,671.0636596679688,0.57,92.48424768447876,overwrite
long_horizon,eval,tf_self,10010,499.2778625488281,0.317,231.27383184432983,overwrite
long_horizon,eval,tf_self,10011,549.564697265625,0.408,228.2830104827881,overwrite
long_horizon,eval,tf_self,10012,505.6728820800781,0.052,332.9690752029419,overwrite
long_horizon,eval,tf_self,10013,609.074951171875,0.16,181.0788745880127,overwrite
long_horizon,eval,tf_self,10014,487.0085754394531,0.387,301.9716897010803,overwrite
long_horizon,eval,tf_self,10015,575.4886474609375,0.274,166.88311004638672,overwrite
long_horizon,eval,tf_self,10016,554.2476806640625,0.329,138.9927797317505,overwrite
long_horizon,eval,tf_self,10017,500.4681396484375,0.392,237.62385654449463,overwrite
long_horizon,eval,tf_self,10018,489.19708251953125,0.264,242.83594274520874,overwrite
long_horizon,eval,tf_self,10019,587.756103515625,0.191,155.65114545822144,overwrite
long_horizon,eval,tf_self,10020,631.5946044921875,0.587,64.06874370574951,overwrite
long_horizon,eval,tf_self,10021,359.56689453125,0.184,375.84723377227783,overwrite
long_horizon,eval,tf_self,10022,548.3638916015625,0.202,212.56199502944946,overwrite
long_horizon,eval,tf_self,10023,432.864013671875,0.175,273.0925588607788,overwrite
long_horizon,eval,tf_self,10024,571.3056640625,0.484,145.97485876083374,overwrite
long_horizon,eval,tf_self,10025,477.6612854003906,0.179,223.5962052345276,overwrite
long_horizon,eval,tf_self,10026,443.22943115234375,0.171,231.6530795097351,overwrite
long_horizon,eval,tf_self,10027,393.47882080078125,0.332,309.99646759033203,overwrite
long_horizon,eval,tf_self,10028,446.57421875,0.281,321.2294011116028,overwrite
long_horizon,eval,tf_self,10029,578.8224487304688,0.513,136.73319053649902,overwrite
long_horizon,eval,tf_self,10030,388.1473388671875,0.115,356.10987520217896,overwrite
long_horizon,eval,tf_self,10031,486.2291564941406,0.339,250.27714490890503,overwrite
long_horizon,eval,tf_self,10032,454.34625244140625,0.167,149.79141187667847,overwrite
long_horizon,eval,tf_self,10033,532.0375366210938,0.232,271.0154461860657,overwrite
long_horizon,eval,tf_self,10034,573.3460693359375,0.297,174.02085161209106,overwrite
long_horizon,eval,tf_self,10035,494.9878234863281,0.301,341.17700815200806,overwrite
long_horizon,eval,tf_self,10036,419.28021240234375,0.135,352.60483503341675,overwrite
long_horizon,eval,tf_self,10037,502.86334228515625,0.275,188.48798370361328,overwrite
long_horizon,eval,tf_self,10038,550.8897094726562,0.3,146.91573762893677,overwrite
long_horizon,eval,tf_self,10039,683.044189453125,0.601,55.683154582977295,overwrite
long_horizon,eval,tf_self,10040,569.4686279296875,0.345,200.93625831604004,overwrite
long_horizon,eval,tf_self,10041,536.6799926757812,0.501,178.6188588142395,overwrite
long_horizon,eval,tf_self,10042,660.8120727539062,0.599,113.21677923202515,overwrite
long_horizon,eval,tf_self,10043,441.0909423828125,0.211,329.90700817108154,overwrite
long_horizon,eval,tf_self,10044,492.38995361328125,0.275,234.09225845336914,overwrite
long_horizon,eval,tf_self,10045,523.4775390625,0.479,194.67175197601318,overwrite
long_horizon,eval,tf_self,10046,333.7979736328125,0.128,436.91781091690063,overwrite
long_horizon,eval,tf_self,10047,468.85858154296875,0.125,339.7583785057068,overwrite
long_horizon,eval,tf_self,10048,417.16015625,0.056,367.00140953063965,overwrite
long_horizon,eval,tf_self_eps0.05,9999,592.43408203125,0.525,126.08276557922363,overwrite
long_horizon,eval,tf_self_eps0.05,10000,669.9141235351562,0.465,148.05861139297485,overwrite
long_horizon,eval,tf_self_eps0.05,10001,467.78277587890625,0.106,258.68788862228394,overwrite
long_horizon,eval,tf_self_eps0.05,10002,569.05615234375,0.305,199.69012069702148,overwrite
long_horizon,eval,tf_self_eps0.05,10003,537.4822998046875,0.251,266.1391658782959,overwrite
long_horizon,eval,tf_self_eps0.05,10004,610.5633544921875,0.563,138.736168384552,overwrite
long_horizon,eval,tf_self_eps0.05,10005,618.9584350585938,0.618,173.25534296035767,overwrite
long_horizon,eval,tf_self_eps0.05,10006,600.07666015625,0.427,133.88666915893555,overwrite
long_horizon,eval,tf_self_eps0.05,10007,587.7705078125,0.314,192.0347762107849,overwrite
long_horizon,eval,tf_self_eps0.05,10008,482.81793212890625,0.335,308.15804386138916,overwrite
long_horizon,eval,tf_self_eps0.05,10009,525.4376220703125,0.264,237.35070133209229,overwrite
long_horizon,eval,tf_self_eps0.05,10010,467.96893310546875,0.278,270.8450870513916,overwrite
long_horizon,eval,tf_self_eps0.05,10011,491.1541748046875,0.281,284.78534269332886,overwrite
long_horizon,eval,tf_self_eps0.05,10012,500.299072265625,0.022,334.70321702957153,overwrite
long_horizon,eval,tf_self_eps0.05,10013,509.5386047363281,0.066,282.6651768684387,overwrite
long_horizon,eval,tf_self_eps0.05,10014,517.886962890625,0.307,263.70720529556274,overwrite
long_horizon,eval,tf_self_eps0.05,10015,581.576416015625,0.346,163.8496446609497,overwrite
long_horizon,eval,tf_self_eps0.05,10016,497.6923828125,0.402,198.39114570617676,overwrite
