block,condition,agent,seed,return,opt_frac,gap_regret,model
long_horizon,eval,tf_legacy,9999,565.2173461914062,0.364,159.6123547554016,residual
long_horizon,eval,tf_legacy,10000,554.1173095703125,0.25,256.2025203704834,residual
long_horizon,eval,tf_legacy,10001,400.671875,0.108,335.6476879119873,residual
long_horizon,eval,tf_legacy,10002,538.6082763671875,0.39,234.05004262924194,residual
long_horizon,eval,tf_legacy,10003,581.4327392578125,0.451,226.39943170547485,residual
long_horizon,eval,tf_legacy,10004,437.410400390625,0.023,304.11629247665405,residual
long_horizon,eval,tf_legacy,10005,546.828369140625,0.493,243.3449192047119,residual
long_horizon,eval,tf_legacy,10006,436.68243408203125,0.0,310.47873067855835,residual
long_horizon,eval,tf_legacy,10007,526.9608154296875,0.215,247.4827651977539,residual
long_horizon,eval,tf_legacy,10008,325.0523681640625,0.032,465.35700273513794,residual
long_horizon,eval,tf_legacy,10009,467.39239501953125,0.196,303.3314428329468,residual
long_horizon,eval,tf_legacy,10010,597.2182006835938,0.416,133.2898292541504,residual
long_horizon,eval,tf_legacy,10011,581.91845703125,0.393,197.70787620544434,residual
long_horizon,eval,tf_legacy,10012,471.7364807128906,0.216,364.0668911933899,residual
long_horizon,eval,tf_legacy,10013,606.9794311523438,0.329,187.90589952468872,residual
long_horizon,eval,tf_legacy,10014,427.0806579589844,0.379,360.28728675842285,residual
long_horizon,eval,tf_legacy,10015,603.18408203125,0.252,143.45870733261108,residual
long_horizon,eval,tf_legacy,10016,308.08984375,0.011,380.80025005340576,residual
long_horizon,eval,tf_legacy,10017,514.5404663085938,0.318,224.2093243598938,residual
long_horizon,eval,tf_legacy,10018,416.3233642578125,0.117,311.4456720352173,residual
long_horizon,eval,tf_legacy,10019,429.9527282714844,0.068,324.20250415802,residual
long_horizon,eval,tf_legacy,10020,509.8874206542969,0.146,193.76622009277344,residual
long_horizon,eval,tf_legacy,10021,551.4072265625,0.438,186.68553686141968,residual
long_horizon,eval,tf_legacy,10022,639.5433349609375,0.525,125.07024621963501,residual
long_horizon,eval,tf_legacy,10023,470.02239990234375,0.319,236.7482147216797,residual
long_horizon,eval,tf_legacy,10024,605.7994995117188,0.326,117.17876672744751,residual
long_horizon,eval,tf_legacy,10025,455.21771240234375,0.113,244.49378967285156,residual
long_horizon,eval,tf_legacy,10026,647.5794677734375,0.84,26.92851686477661,residual
long_horizon,eval,tf_legacy,10027,453.10797119140625,0.155,251.25111150741577,residual
long_horizon,eval,tf_legacy,10028,504.66778564453125,0.25,268.5384440422058,residual
long_horizon,eval,tf_legacy,10029,527.9525146484375,0.31,192.79909706115723,residual
long_horizon,eval,tf_legacy,10030,502.8058166503906,0.307,244.98659372329712,residual
long_horizon,eval,tf_legacy,10031,569.3486328125,0.365,171.25391674041748,residual
long_horizon,eval,tf_legacy,10032,542.15673828125,0.735,62.96531915664673,residual
long_horizon,eval,tf_legacy,10033,506.8231506347656,0.244,298.6954565048218,residual
long_horizon,eval,tf_legacy,10034,397.2217712402344,0.112,359.58153915405273,residual
long_horizon,eval,tf_legacy,10035,464.7359619140625,0.161,373.94720458984375,residual
long_horizon,eval,tf_legacy,10036,523.4872436523438,0.296,250.29303169250488,residual
long_horizon,eval,tf_legacy,10037,563.2577514648438,0.19,128.74662494659424,residual
long_horizon,eval,tf_legacy,10038,498.9025573730469,0.258,204.3216757774353,residual
long_horizon,eval,tf_legacy,10039,457.22637939453125,0.079,284.7930598258972,residual
long_horizon,eval,tf_legacy,10040,564.315673828125,0.457,194.59275579452515,residual
long_horizon,eval,tf_legacy,10041,522.850341796875,0.21,193.36561822891235,residual
long_horizon,eval,tf_legacy,10042,519.25732421875,0.165,255.7316927909851,residual
long_horizon,eval,tf_legacy,10043,659.45458984375,0.516,106.4902720451355,residual
long_horizon,eval,tf_legacy,10044,301.0187072753906,0.111,431.0341372489929,residual
long_horizon,eval,tf_legacy,10045,526.0733032226562,0.302,198.52427101135254,residual
long_horizon,eval,tf_legacy,10046,663.069091796875,0.601,104.20753288269043,residual
long_horizon,eval,tf_legacy,10047,550.0094604492188,0.225,258.80724811553955,residual
long_horizon,eval,tf_legacy,10048,670.7838134765625,0.403,114.33888912200928,residual
long_horizon,eval,tf_self,9999,567.2325439453125,0.474,158.8547682762146,residual
long_horizon,eval,tf_self,10000,518.3966064453125,0.197,293.57332134246826,residual
long_horizon,eval,tf_self,10001,437.22857666015625,0.119,299.15454483032227,residual
long_horizon,eval,tf_self,10002,541.7279052734375,0.39,230.06990909576416,residual
long_horizon,eval,tf_self,10003,628.30224609375,0.574,176.57465600967407,residual
long_horizon,eval,tf_self,10004,434.95574951171875,0.204,310.7918395996094,residual
long_horizon,eval,tf_self,10005,607.82080078125,0.439,183.20728540420532,residual
long_horizon,eval,tf_self,10006,485.7322998046875,0.0,257.860671043396,residual
long_horizon,eval,tf_self,10007,512.1919555664062,0.205,262.54890966415405,residual
long_horizon,eval,tf_self,10008,555.1591186523438,0.242,237.0055751800537,residual
long_horizon,eval,tf_self,10009,424.19976806640625,0.11,340.2437176704407,residual
long_horizon,eval,tf_self,10010,457.097900390625,0.137,273.81011867523193,residual
long_horizon,eval,tf_self,10011,630.3736572265625,0.525,148.12834644317627,residual
long_horizon,eval,tf_self,10012,586.22900390625,0.419,246.76142501831055,residual
long_horizon,eval,tf_self,10013,545.5697021484375,0.122,246.97638940811157,residual
long_horizon,eval,tf_self,10014,625.6261596679688,0.481,168.7567458152771,residual
long_horizon,eval,tf_self,10015,606.4658203125,0.355,141.53412580490112,residual
long_horizon,eval,tf_self,10016,327.26513671875,0.119,360.0849075317383,residual
long_horizon,eval,tf_self,10017,455.0489196777344,0.265,285.9251079559326,residual
long_horizon,eval,tf_self,10018,500.2388610839844,0.147,231.69536924362183,residual
long_horizon,eval,tf_self,10019,606.7613525390625,0.331,141.8102903366089,residual
long_horizon,eval,tf_self,10020,563.7340698242188,0.581,135.55919075012207,residual
long_horizon,eval,tf_self,10021,380.4789123535156,0.167,362.4491982460022,residual
long_horizon,eval,tf_self,10022,462.5052795410156,0.161,299.09882164001465,residual
long_horizon,eval,tf_self,10023,456.34912109375,0.292,251.2597212791443,residual
long_horizon,eval,tf_self,10024,621.2612915039062,0.335,98.62256336212158,residual
long_horizon,eval,tf_self,10025,472.8670959472656,0.29,235.428213596344,residual
long_horizon,eval,tf_self,10026,596.1134033203125,0.545,77.18526601791382,residual
long_horizon,eval,tf_self,10027,423.03082275390625,0.0,284.57663774490356,residual
long_horizon,eval,tf_self,10028,606.6683349609375,0.47,166.70966863632202,residual
long_horizon,eval,tf_self,10029,652.5604248046875,0.536,59.26108121871948,residual
long_horizon,eval,tf_self,10030,426.57012939453125,0.12,311.7811360359192,residual
long_horizon,eval,tf_self,10031,517.2423095703125,0.213,224.07778072357178,residual
long_horizon,eval,tf_self,10032,489.971435546875,0.455,119.5564227104187,residual
long_horizon,eval,tf_self,10033,609.4359741210938,0.429,197.57010412216187,residual
long_horizon,eval,tf_self,10034,512.2547607421875,0.278,239.7485909461975,residual
long_horizon,eval,tf_self,10035,487.20477294921875,0.063,350.4427056312561,residual
long_horizon,eval,tf_self,10036,427.51531982421875,0.0,341.0910987854004,residual
long_horizon,eval,tf_self,10037,534.3076782226562,0.335,156.93234062194824,residual
long_horizon,eval,tf_self,10038,480.23590087890625,0.151,219.71071672439575,residual
long_horizon,eval,tf_self,10039,500.4643249511719,0.323,239.77493572235107,residual
long_horizon,eval,tf_self,10040,464.1727600097656,0.185,303.2527074813843,residual
long_horizon,eval,tf_self,10041,448.60235595703125,0.214,268.6320743560791,residual
long_horizon,eval,tf_self,10042,521.3101806640625,0.0,250.6168155670166,residual
long_horizon,eval,tf_self,10043,615.5704345703125,0.435,151.90936946868896,residual
long_horizon,eval,tf_self,10044,450.8110046386719,0.119,280.3264207839966,residual
long_horizon,eval,tf_self,10045,405.1436767578125,0.206,313.2447175979614,residual
long_horizon,eval,tf_self,10046,553.8602905273438,0.101,208.35216283798218,residual
long_horizon,eval,tf_self,10047,411.24420166015625,0.0,388.1137270927429,residual
long_horizon,eval,tf_self,10048,675.0868530273438,0.308,118.08165407180786,residual
long_horizon,eval,optimal,9999,720.04638671875,1.0,0.0,residual
long_horizon,eval,optimal,10000,809.16162109375,1.0,0.0,residual
long_horizon,eval,optimal,10001,730.55615234375,1.0,0.0,residual
long_horizon,eval,optimal,10002,771.5386962890625,1.0,0.0,residual
long_horizon,eval,optimal,10003,804.2860107421875,1.0,0.0,residual
long_horizon,eval,optimal,10004,747.3536376953125,1.0,0.0,residual
long_horizon,eval,optimal,10005,788.2096557617188,1.0,0.0,residual
long_horizon,eval,optimal,10006,743.7992553710938,1.0,0.0,residual
long_horizon,eval,optimal,10007,780.064208984375,1.0,0.0,residual
long_horizon,eval,optimal,10008,789.4412841796875,1.0,0.0,residual
long_horizon,eval,optimal,10009,764.0264282226562,1.0,0.0,residual
long_horizon,eval,optimal,10010,736.7028198242188,1.0,0.0,residual
long_horizon,eval,optimal,10011,777.08935546875,1.0,0.0,residual
long_horizon,eval,optimal,10012,830.0558471679688,1.0,0.0,residual
long_horizon,eval,optimal,10013,784.14501953125,1.0,0.0,residual
long_horizon,eval,optimal,10014,789.767578125,1.0,0.0,residual
long_horizon,eval,optimal,10015,742.8001098632812,1.0,0.0,residual
long_horizon,eval,optimal,10016,689.3787841796875,1.0,0.0,residual
long_horizon,eval,optimal,10017,743.2963256835938,1.0,0.0,residual
long_horizon,eval,optimal,10018,734.8409423828125,1.0,0.0,residual
long_horizon,eval,optimal,10019,749.2127075195312,1.0,0.0,residual
long_horizon,eval,optimal,10020,695.2578125,1.0,0.0,residual
long_horizon,eval,optimal,10021,737.1583251953125,1.0,0.0,residual
long_horizon,eval,optimal,10022,758.0572509765625,1.0,0.0,residual
long_horizon,eval,optimal,10023,707.5208740234375,1.0,0.0,residual
long_horizon,eval,optimal,10024,721.34521484375,1.0,0.0,residual
long_horizon,eval,optimal,10025,705.8261108398438,1.0,0.0,residual
long_horizon,eval,optimal,10026,673.3489990234375,1.0,0.0,residual
long_horizon,eval,optimal,10027,701.906982421875,1.0,0.0,residual
long_horizon,eval,optimal,10028,777.1934814453125,1.0,0.0,residual
long_horizon,eval,optimal,10029,710.290283203125,1.0,0.0,residual
long_horizon,eval,optimal,10030,757.3515625,1.0,0.0,residual
long_horizon,eval,optimal,10031,744.5101318359375,1.0,0.0,residual
long_horizon,eval,optimal,10032,608.35693359375,1.0,0.0,residual
long_horizon,eval,optimal,10033,802.5164184570312,1.0,0.0,residual
long_horizon,eval,optimal,10034,747.8082885742188,1.0,0.0,residual
long_horizon,eval,optimal,10035,838.6690673828125,1.0,0.0,residual
long_horizon,eval,optimal,10036,764.4212036132812,1.0,0.0,residual
long_horizon,eval,optimal,10037,691.7464599609375,1.0,0.0,residual
long_horizon,eval,optimal,10038,701.5033569335938,1.0,0.0,residual
long_horizon,eval,optimal,10039,750.0586547851562,1.0,0.0,residual
long_horizon,eval,optimal,10040,770.000732421875,1.0,0.0,residual
long_horizon,eval,optimal,10041,710.4361572265625,1.0,0.0,residual
long_horizon,eval,optimal,10042,776.7017822265625,1.0,0.0,residual
long_horizon,eval,optimal,10043,768.8812255859375,1.0,0.0,residual
long_horizon,eval,optimal,10044,726.7012939453125,1.0,0.0,residual
long_horizon,eval,optimal,10045,716.3232421875,1.0,0.0,residual
long_horizon,eval,optimal,10046,766.973388671875,1.0,0.0,residual
long_horizon,eval,optimal,10047,807.9196166992188,1.0,0.0,residual
long_horizon,eval,optimal,10048,789.1814575195312,1.0,0.0,residual
long_horizon,eval,epsgreedy,9999,557.68359375,0.273,163.15784215927124,residual
long_horizon,eval,epsgreedy,10000,638.5335693359375,0.412,177.56162452697754,residual
long_horizon,eval,epsgreedy,10001,633.76611328125,0.625,95.55337715148926,residual
long_horizon,eval,epsgreedy,10002,646.6515502929688,0.461,119.92520666122437,residual
long_horizon,eval,epsgreedy,10003,599.279296875,0.18,199.30007696151733,residual
long_horizon,eval,epsgreedy,10004,519.1249389648438,0.364,224.07146692276,residual
long_horizon,eval,epsgreedy,10005,499.52130126953125,0.309,296.59968662261963,residual
long_horizon,eval,epsgreedy,10006,628.1792602539062,0.449,112.73319244384766,residual
long_horizon,eval,epsgreedy,10007,670.6819458007812,0.299,112.57904100418091,residual
long_horizon,eval,epsgreedy,10008,594.3934326171875,0.407,198.1468005180359,residual
long_horizon,eval,epsgreedy,10009,514.767822265625,0.274,248.1203589439392,residual
long_horizon,eval,epsgreedy,10010,604.853271484375,0.635,125.47152423858643,residual
long_horizon,eval,epsgreedy,10011,535.5587158203125,0.26,239.00540494918823,residual
long_horizon,eval,epsgreedy,10012,627.434326171875,0.336,215.77655124664307,residual
long_horizon,eval,epsgreedy,10013,547.3517456054688,0.044,242.796537399292,residual
long_horizon,eval,epsgreedy,10014,562.621826171875,0.326,221.17371892929077,residual
long_horizon,eval,epsgreedy,10015,528.804443359375,0.123,215.96330499649048,residual
long_horizon,eval,epsgreedy,10016,474.7003479003906,0.148,219.8654842376709,residual
long_horizon,eval,epsgreedy,10017,607.174072265625,0.546,132.8452115058899,residual
long_horizon,eval,epsgreedy,10018,500.76812744140625,0.311,226.63793277740479,residual
long_horizon,eval,epsgreedy,10019,504.0062255859375,0.27,248.43401288986206,residual
long_horizon,eval,epsgreedy,10020,528.122802734375,0.242,166.99048471450806,residual
long_horizon,eval,epsgreedy,10021,549.205810546875,0.601,187.1943006515503,residual
long_horizon,eval,epsgreedy,10022,533.828857421875,0.229,226.15265941619873,residual
long_horizon,eval,epsgreedy,10023,478.57000732421875,0.321,228.04139614105225,residual
long_horizon,eval,epsgreedy,10024,599.510986328125,0.431,125.41244792938232,residual
long_horizon,eval,epsgreedy,10025,523.3123779296875,0.337,182.25345182418823,residual
long_horizon,eval,epsgreedy,10026,550.6397705078125,0.404,120.7719669342041,residual
long_horizon,eval,epsgreedy,10027,508.0354309082031,0.41,189.58304643630981,residual
long_horizon,eval,epsgreedy,10028,416.8385009765625,0.081,341.4869818687439,residual
long_horizon,eval,epsgreedy,10029,524.140625,0.4,198.17573642730713,residual
long_horizon,eval,epsgreedy,10030,548.013916015625,0.348,190.4436321258545,residual
long_horizon,eval,epsgreedy,10031,579.3472900390625,0.354,165.852774143219,residual
long_horizon,eval,epsgreedy,10032,490.0869140625,0.23,115.04105997085571,residual
long_horizon,eval,epsgreedy,10033,672.6953125,0.636,131.4364447593689,residual
long_horizon,eval,epsgreedy,10034,505.7452392578125,0.186,248.41819620132446,residual
long_horizon,eval,epsgreedy,10035,559.833984375,0.113,277.3727889060974,residual
long_horizon,eval,epsgreedy,10036,532.135498046875,0.296,229.48886632919312,residual
long_horizon,eval,epsgreedy,10037,601.521240234375,0.349,87.6275806427002,residual
long_horizon,eval,epsgreedy,10038,552.8341064453125,0.334,145.852192401886,residual
