block,condition,agent,seed,return,opt_frac,gap_regret,model,agreement,tf_pred_true_opt,teacher_true_opt
size_sweep,2x2,tf_legacy,9999,191.4499969482422,0.955,8.54999828338623,residual,,,
size_sweep,2x2,tf_legacy,10000,10.000001907348633,0.0,189.99996185302734,residual,,,
size_sweep,2x2,tf_legacy,10001,10.000001907348633,0.0,190.00004959106445,residual,,,
size_sweep,2x2,tf_legacy,10002,132.5500030517578,0.645,67.4499864578247,residual,,,
size_sweep,2x2,tf_legacy,10003,190.5,0.95,9.500007629394531,residual,,,
size_sweep,2x2,tf_legacy,10004,93.60000610351562,0.44,106.40002536773682,residual,,,
size_sweep,2x2,tf_legacy,10005,69.85000610351562,0.315,130.15010452270508,residual,,,
size_sweep,2x2,tf_legacy,10006,151.5500030517578,0.745,48.44999027252197,residual,,,
size_sweep,2x2,tf_legacy,10007,22.349998474121094,0.065,177.64996433258057,residual,,,
size_sweep,2x2,tf_legacy,10008,185.75,0.925,14.250011444091797,residual,,,
size_sweep,2x2,tf_legacy,10009,57.500003814697266,0.25,142.50011444091797,residual,,,
size_sweep,2x2,tf_legacy,10010,101.20000457763672,0.48,98.79998016357422,residual,,,
size_sweep,2x2,tf_legacy,10011,132.5500030517578,0.645,67.4499864578247,residual,,,
size_sweep,2x2,tf_legacy,10012,86.00000762939453,0.4,114.00009155273438,residual,,,
size_sweep,2x2,tf_legacy,10013,10.000001907348633,0.0,190.00003147125244,residual,,,
size_sweep,2x2,tf_legacy,10014,152.50001525878906,0.75,47.499990463256836,residual,,,
size_sweep,2x2,tf_legacy,10015,55.60000228881836,0.24,144.39997100830078,residual,,,
size_sweep,2x2,tf_legacy,10016,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_legacy,10017,118.30000305175781,0.57,81.69998359680176,residual,,,
size_sweep,2x2,tf_legacy,10018,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_legacy,10019,189.5500030517578,0.945,10.449997901916504,residual,,,
size_sweep,2x2,tf_legacy,10020,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_legacy,10021,102.1500015258789,0.485,97.84999370574951,residual,,,
size_sweep,2x2,tf_legacy,10022,129.6999969482422,0.63,70.29998588562012,residual,,,
size_sweep,2x2,tf_legacy,10023,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_legacy,10024,131.60000610351562,0.64,68.40005493164062,residual,,,
size_sweep,2x2,tf_legacy,10025,76.5,0.35,123.49997520446777,residual,,,
size_sweep,2x2,tf_legacy,10026,188.60000610351562,0.94,11.39999771118164,residual,,,
size_sweep,2x2,tf_legacy,10027,188.60000610351562,0.94,11.39999771118164,residual,,,
size_sweep,2x2,tf_legacy,10028,187.65000915527344,0.935,12.35000991821289,residual,,,
size_sweep,2x2,tf_legacy,10029,96.45000457763672,0.455,103.5499792098999,residual,,,
size_sweep,2x2,tf_legacy,10030,106.90000915527344,0.51,93.0999813079834,residual,,,
size_sweep,2x2,tf_legacy,10031,24.250001907348633,0.075,175.7499647140503,residual,,,
size_sweep,2x2,tf_legacy,10032,10.000001907348633,0.0,190.00015258789062,residual,,,
size_sweep,2x2,tf_legacy,10033,100.25,0.475,99.74999713897705,residual,,,
size_sweep,2x2,tf_legacy,10034,195.25,0.975,4.749999046325684,residual,,,
size_sweep,2x2,tf_legacy,10035,172.4499969482422,0.855,27.55002212524414,residual,,,
size_sweep,2x2,tf_legacy,10036,193.35000610351562,0.965,6.649998664855957,residual,,,
size_sweep,2x2,tf_legacy,10037,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_legacy,10038,146.80001831054688,0.72,53.200042724609375,residual,,,
size_sweep,2x2,tf_legacy,10039,114.50000762939453,0.55,85.50006866455078,residual,,,
size_sweep,2x2,tf_legacy,10040,137.30001831054688,0.67,62.69992446899414,residual,,,
size_sweep,2x2,tf_legacy,10041,29.0,0.1,171.00013732910156,residual,,,
size_sweep,2x2,tf_legacy,10042,76.50001525878906,0.35,123.49997520446777,residual,,,
size_sweep,2x2,tf_legacy,10043,10.000001907348633,0.0,189.99996185302734,residual,,,
size_sweep,2x2,tf_legacy,10044,10.000001907348633,0.0,189.99996185302734,residual,,,
size_sweep,2x2,tf_legacy,10045,140.15000915527344,0.685,59.84998798370361,residual,,,
size_sweep,2x2,tf_legacy,10046,191.4499969482422,0.955,8.54999828338623,residual,,,
size_sweep,2x2,tf_legacy,10047,79.35000610351562,0.365,120.64997577667236,residual,,,
size_sweep,2x2,tf_legacy,10048,10.000001907348633,0.0,189.99996185302734,residual,,,
size_sweep,2x2,tf_self,9999,131.60000610351562,0.64,68.39998626708984,residual,,,
size_sweep,2x2,tf_self,10000,10.000001907348633,0.0,189.99996185302734,residual,,,
size_sweep,2x2,tf_self,10001,10.000001907348633,0.0,190.00004959106445,residual,,,
size_sweep,2x2,tf_self,10002,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_self,10003,105.95000457763672,0.505,94.05007553100586,residual,,,
size_sweep,2x2,tf_self,10004,10.000001907348633,0.0,190.00004768371582,residual,,,
size_sweep,2x2,tf_self,10005,69.85000610351562,0.315,130.15010452270508,residual,,,
size_sweep,2x2,tf_self,10006,151.5500030517578,0.745,48.44999027252197,residual,,,
size_sweep,2x2,tf_self,10007,22.349998474121094,0.065,177.64996433258057,residual,,,
size_sweep,2x2,tf_self,10008,103.10000610351562,0.49,96.90007781982422,residual,,,
size_sweep,2x2,tf_self,10009,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_self,10010,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_self,10011,10.000001907348633,0.0,189.99996185302734,residual,,,
size_sweep,2x2,tf_self,10012,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_self,10013,10.000001907348633,0.0,190.00003147125244,residual,,,
size_sweep,2x2,tf_self,10014,200.0,1.0,0.0,residual,,,
size_sweep,2x2,tf_self,10015,130.65000915527344,0.635,69.34998607635498,residual,,,
size_sweep,2x2,tf_self,10016,200.0,1.0,0.0,residual,,,
