family,condition,description,agent,final_return,final_return_std,pct_optimal,optimal,random,random_pct_optimal
eval,intact,True reward (control),residual transformer,104.839990234375,15.72677612489591,68.72942219196565,152.54018859863282,105.35603561401368,69.06772345170546
eval,intact,True reward (control),eps-greedy Q,119.03316192626953,12.295372041521471,78.03396797906962,152.54018859863282,105.35603561401368,69.06772345170546
eval,intact,True reward (control),greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,residual transformer,99.17818756103516,12.64821525393202,65.01774284676875,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,eps-greedy Q,104.58690948486328,8.637978572689086,68.5635113249104,152.54018859863282,105.35603561401368,69.06772345170546
eval,zeroed,Reward always 0,greedy Q,104.58690948486328,8.637978572689086,68.5635113249104,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,residual transformer,102.39140014648437,10.065476924271506,67.1242123712715,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,eps-greedy Q,110.84058837890625,14.260172911610628,72.66320397082535,152.54018859863282,105.35603561401368,69.06772345170546
eval,constant,Reward always 0.5,greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)",residual transformer,100.91593017578126,18.97135744211402,66.15694598445366,152.54018859863282,105.35603561401368,69.06772345170546
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)",eps-greedy Q,112.16822814941406,14.312117441784103,73.533558060921,152.54018859863282,105.35603561401368,69.06772345170546
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)",greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),residual transformer,97.28339157104492,10.340951846815303,63.775581022139136,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),eps-greedy Q,106.87339248657227,14.236539400427596,70.0624494229386,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
contrast,intact,True reward (control),residual transformer,61.58500003814697,26.913854902556704,30.792500019073486,200.0,59.49499740600586,29.74749870300293
contrast,intact,True reward (control),eps-greedy Q,89.42000274658203,15.81229438420126,44.710001373291014,200.0,59.49499740600586,29.74749870300293
contrast,intact,True reward (control),greedy Q,69.85000133514404,29.18835697688571,34.92500066757202,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,residual transformer,61.964999771118165,32.80747928899275,30.982499885559083,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,eps-greedy Q,56.929997253417966,6.639133219848316,28.464998626708983,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,greedy Q,56.929997253417966,6.639133219848316,28.464998626708983,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,residual transformer,68.80500106811523,25.567007060119916,34.402500534057616,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,eps-greedy Q,50.94499835968018,15.041535065754903,25.47249917984009,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,greedy Q,69.85000133514404,29.18835697688571,34.92500066757202,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)",residual transformer,66.99999942779542,33.26085640156271,33.49999971389771,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)",eps-greedy Q,46.76499710083008,16.49310648336339,23.38249855041504,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)",greedy Q,69.85000133514404,29.18835697688571,34.92500066757202,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),residual transformer,48.94999799728394,25.863738691259396,24.47499899864197,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),eps-greedy Q,28.714998054504395,8.748772699419693,14.357499027252198,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),greedy Q,27.574999237060545,16.25721717535676,13.787499618530273,200.0,59.49499740600586,29.74749870300293
