block,condition,agent,seed,return,opt_frac,gap_regret,model
long_horizon,eval,tf_legacy,9999,506.66522216796875,0.212,215.4822826385498,discrete
long_horizon,eval,tf_legacy,10000,539.606201171875,0.246,278.0122866630554,discrete
long_horizon,eval,tf_legacy,10001,480.52606201171875,0.217,257.12907218933105,discrete
long_horizon,eval,tf_legacy,10002,615.8740844726562,0.317,154.7219433784485,discrete
long_horizon,eval,tf_legacy,10003,561.8511352539062,0.102,245.6000804901123,discrete
long_horizon,eval,tf_legacy,10004,436.2115783691406,0.282,304.93881130218506,discrete
long_horizon,eval,tf_legacy,10005,491.673095703125,0.338,296.64670753479004,discrete
long_horizon,eval,tf_legacy,10006,578.8260498046875,0.308,165.33002710342407,discrete
long_horizon,eval,tf_legacy,10007,572.7831420898438,0.43,209.98757600784302,discrete
long_horizon,eval,tf_legacy,10008,595.8748779296875,0.418,191.94819116592407,discrete
long_horizon,eval,tf_legacy,10009,487.1201477050781,0.172,280.8538932800293,discrete
long_horizon,eval,tf_legacy,10010,641.3923950195312,0.462,90.22577667236328,discrete
long_horizon,eval,tf_legacy,10011,506.07098388671875,0.066,274.3277077674866,discrete
long_horizon,eval,tf_legacy,10012,583.8351440429688,0.143,254.3812131881714,discrete
long_horizon,eval,tf_legacy,10013,552.01708984375,0.057,240.25808143615723,discrete
long_horizon,eval,tf_legacy,10014,465.2047119140625,0.37,313.48776626586914,discrete
long_horizon,eval,tf_legacy,10015,444.85809326171875,0.075,302.8653483390808,discrete
long_horizon,eval,tf_legacy,10016,584.40478515625,0.273,113.60799360275269,discrete
long_horizon,eval,tf_legacy,10017,581.8280029296875,0.392,155.44690895080566,discrete
long_horizon,eval,tf_legacy,10018,481.74517822265625,0.137,248.13945817947388,discrete
long_horizon,eval,tf_legacy,10019,502.51904296875,0.183,244.7886872291565,discrete
long_horizon,eval,tf_legacy,10020,545.9122314453125,0.382,146.09342670440674,discrete
long_horizon,eval,tf_legacy,10021,316.26837158203125,0.0,424.8401494026184,discrete
long_horizon,eval,tf_legacy,10022,546.31787109375,0.274,217.60997581481934,discrete
long_horizon,eval,tf_legacy,10023,474.21270751953125,0.124,234.28700876235962,discrete
long_horizon,eval,tf_legacy,10024,563.1439208984375,0.302,158.5881266593933,discrete
long_horizon,eval,tf_legacy,10025,451.0946350097656,0.161,252.48003959655762,discrete
long_horizon,eval,tf_legacy,10026,313.04302978515625,0.008,358.7987804412842,discrete
long_horizon,eval,tf_legacy,10027,430.5205993652344,0.189,277.3506770133972,discrete
long_horizon,eval,tf_legacy,10028,416.27337646484375,0.141,334.1558060646057,discrete
