block,condition,agent,seed,return,opt_frac,gap_regret,model,agreement,tf_pred_true_opt,teacher_true_opt
size_sweep,2x2,tf_legacy,9999,10.000001907348633,0.0,189.99996185302734,discrete,,,
size_sweep,2x2,tf_legacy,10000,11.90000057220459,0.01,188.09996223449707,discrete,,,
size_sweep,2x2,tf_legacy,10001,10.950000762939453,0.005,189.050048828125,discrete,,,
size_sweep,2x2,tf_legacy,10002,105.00000762939453,0.5,94.99998092651367,discrete,,,
size_sweep,2x2,tf_legacy,10003,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_legacy,10004,10.000001907348633,0.0,190.00004768371582,discrete,,,
size_sweep,2x2,tf_legacy,10005,69.85000610351562,0.315,130.15010452270508,discrete,,,
size_sweep,2x2,tf_legacy,10006,152.5,0.75,47.499990463256836,discrete,,,
size_sweep,2x2,tf_legacy,10007,10.950000762939453,0.005,189.0499620437622,discrete,,,
size_sweep,2x2,tf_legacy,10008,198.10000610351562,0.99,1.9000015258789062,discrete,,,
size_sweep,2x2,tf_legacy,10009,32.79999542236328,0.12,167.20013427734375,discrete,,,
size_sweep,2x2,tf_legacy,10010,37.54999542236328,0.145,162.44996738433838,discrete,,,
size_sweep,2x2,tf_legacy,10011,165.79998779296875,0.82,34.19999313354492,discrete,,,
size_sweep,2x2,tf_legacy,10012,66.05000305175781,0.295,133.9501075744629,discrete,,,
size_sweep,2x2,tf_legacy,10013,10.000001907348633,0.0,190.00003147125244,discrete,,,
size_sweep,2x2,tf_legacy,10014,147.75,0.725,52.24998950958252,discrete,,,
size_sweep,2x2,tf_legacy,10015,15.699997901916504,0.03,184.29996299743652,discrete,,,
size_sweep,2x2,tf_legacy,10016,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_legacy,10017,93.60000610351562,0.44,106.39997863769531,discrete,,,
size_sweep,2x2,tf_legacy,10018,161.0500030517578,0.795,38.949992179870605,discrete,,,
size_sweep,2x2,tf_legacy,10019,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_legacy,10020,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_legacy,10021,118.30000305175781,0.57,81.69998550415039,discrete,,,
size_sweep,2x2,tf_legacy,10022,196.1999969482422,0.98,3.799999237060547,discrete,,,
size_sweep,2x2,tf_legacy,10023,200.0,1.0,0.0,discrete,,,
size_sweep,2x2,tf_legacy,10024,112.60000610351562,0.54,87.40007019042969,discrete,,,
size_sweep,2x2,tf_legacy,10025,86.95000457763672,0.405,113.04997730255127,discrete,,,
size_sweep,2x2,tf_legacy,10026,200.0,1.0,0.0,discrete,,,
