n_states,n_actions,agent,agreement,agreement_std,chance_agreement,return_pct_optimal,random_pct_optimal,final_return,optimal_return
2,2,discrete,0.922,0.060959002616512666,0.5,38.96250128746033,51.59750328063965,77.92500257492065,200.0
2,3,discrete,0.8600000000000001,0.08438009243891596,0.3333333333333333,49.60250158309937,37.25250015258789,99.20500316619874,200.0
2,4,discrete,0.804,0.0958331884056875,0.25,48.225001907348634,32.02749900817871,96.45000381469727,200.0
3,2,discrete,0.792,0.11249888888340187,0.5,50.93249959945679,52.690002822875975,101.86499919891358,200.0
3,3,discrete,0.7260000000000001,0.08101851640211637,0.3333333333333333,52.16750059127808,38.29750137329101,104.33500118255616,200.0
3,4,discrete,0.634,0.1523285921946369,0.25,21.19750061035156,27.27749843597412,42.39500122070312,200.0
4,2,discrete,0.7220000000000001,0.09568698971124548,0.5,43.04750099182129,50.88500328063965,86.09500198364258,200.0
4,3,discrete,0.6699999999999999,0.11462983904725679,0.3333333333333333,42.95250020027161,36.87249946594238,85.90500040054322,200.0
4,4,discrete,0.538,0.1250439922587247,0.25,33.832501316070555,27.229999351501466,67.66500263214111,200.0
5,2,discrete,0.6679999999999999,0.06209669878504009,0.5,47.94000053405762,52.3575023651123,95.88000106811523,200.0
5,3,discrete,0.556,0.09583318840568752,0.3333333333333333,48.74750175476074,36.68250007629395,97.49500350952148,200.0
5,4,discrete,0.472,0.08818163074019442,0.25,31.790000200271606,28.084999656677248,63.58000040054321,200.0
6,2,discrete,0.648,0.08863407922464134,0.5,55.54000053405762,53.40250434875488,111.08000106811524,200.0
6,3,discrete,0.556,0.10190191362285597,0.3333333333333333,42.52500114440918,36.6350004196167,85.05000228881836,200.0
6,4,discrete,0.4619999999999999,0.09008884503644167,0.25,35.82750015258789,28.41749858856201,71.65500030517578,200.0
7,2,discrete,0.5980000000000001,0.09357350052231667,0.5,44.28250160217285,53.35500297546387,88.5650032043457,200.0
7,3,discrete,0.5160000000000001,0.05200000000000001,0.3333333333333333,43.5700008392334,36.4450008392334,87.1400016784668,200.0
7,4,discrete,0.398,0.079724525711979,0.25,37.86999988555908,30.554999160766602,75.73999977111816,200.0
8,2,discrete,0.6139999999999999,0.055892754449928486,0.5,55.58750267028809,53.4975025177002,111.17500534057618,200.0
8,3,discrete,0.48,0.07797435475847171,0.3333333333333333,35.11500015258789,36.58750114440918,70.23000030517578,200.0
8,4,discrete,0.4,0.09757048734120376,0.25,33.87999954223633,29.74749870300293,67.75999908447265,200.0
