beta,beta_max,nA,nS,alpha,gamma,rewards,seed,max_err,greedy_agree,self_vs_teacher
50.0,1000.0,2,8,0.1,0.9,clean,0,5.5442652246995294e-08,1.0,0.0
50.0,1000.0,2,2,0.1,0.9,clean,1,9.887367635741384e-08,1.0,0.0
50.0,1000.0,2,8,0.1,0.9,noisy_negative,0,2.1675735011467134e-05,1.0,0.0
50.0,1000.0,2,2,0.1,0.9,noisy_negative,1,5.886627138784739e-05,1.0,0.0
50.0,1000.0,2,8,0.1,0.95,clean,0,8.838897427865255e-08,1.0,0.0
50.0,1000.0,2,2,0.1,0.95,clean,1,1.3942580157078055e-07,1.0,0.0
50.0,1000.0,2,8,0.1,0.95,noisy_negative,0,2.4676602562320737e-05,1.0,0.0
50.0,1000.0,2,2,0.1,0.95,noisy_negative,1,3.761481859605037e-05,1.0,0.0
50.0,1000.0,2,8,0.2,0.9,clean,0,2.7893189516792205e-05,1.0,0.0
50.0,1000.0,2,2,0.2,0.9,clean,1,5.294904692476621e-08,1.0,0.0
50.0,1000.0,2,8,0.2,0.9,noisy_negative,0,5.0409251862809645e-05,1.0,0.0
50.0,1000.0,2,2,0.2,0.9,noisy_negative,1,9.59974397738983e-05,1.0,0.0
50.0,1000.0,2,8,0.2,0.95,clean,0,6.920561355816535e-06,1.0,0.0
50.0,1000.0,2,2,0.2,0.95,clean,1,8.127280270997517e-08,1.0,0.0
50.0,1000.0,2,8,0.2,0.95,noisy_negative,0,1.5199091289025413e-05,1.0,0.0
50.0,1000.0,2,2,0.2,0.95,noisy_negative,1,8.468947656692372e-05,1.0,0.0
50.0,1000.0,2,8,0.5,0.9,clean,0,0.00010404331363833563,1.0,0.0
50.0,1000.0,2,2,0.5,0.9,clean,1,5.4750440041217985e-05,1.0,0.0
50.0,1000.0,2,8,0.5,0.9,noisy_negative,0,7.348821150066076e-05,1.0,0.0
50.0,1000.0,2,2,0.5,0.9,noisy_negative,1,3.2626750853470554e-05,1.0,0.0
50.0,1000.0,2,8,0.5,0.95,clean,0,2.719635894266048e-08,1.0,0.0
50.0,1000.0,2,2,0.5,0.95,clean,1,0.00013777824705130115,1.0,0.0
50.0,1000.0,2,8,0.5,0.95,noisy_negative,0,3.8212124263914404e-05,1.0,0.0
50.0,1000.0,2,2,0.5,0.95,noisy_negative,1,0.0001081311190291312,1.0,0.0
50.0,1000.0,3,8,0.1,0.9,clean,0,1.0270558277930553e-05,1.0,0.0
50.0,1000.0,3,2,0.1,0.9,clean,1,2.0362404867801942e-07,1.0,0.0
50.0,1000.0,3,8,0.1,0.9,noisy_negative,0,3.41069455252474e-05,1.0,0.0
50.0,1000.0,3,2,0.1,0.9,noisy_negative,1,2.927867849583654e-05,1.0,0.0
50.0,1000.0,3,8,0.1,0.95,clean,0,8.308155580477594e-06,1.0,0.0
50.0,1000.0,3,2,0.1,0.95,clean,1,9.93449480063413e-06,1.0,0.0
50.0,1000.0,3,8,0.1,0.95,noisy_negative,0,6.410600620476714e-05,1.0,0.0
50.0,1000.0,3,2,0.1,0.95,noisy_negative,1,3.6589900778899453e-05,1.0,0.0
50.0,1000.0,3,8,0.2,0.9,clean,0,2.9012341862255653e-08,1.0,0.0
50.0,1000.0,3,2,0.2,0.9,clean,1,5.134251246374788e-08,1.0,0.0
50.0,1000.0,3,8,0.2,0.9,noisy_negative,0,5.001594954189004e-05,1.0,0.0
50.0,1000.0,3,2,0.2,0.9,noisy_negative,1,8.390795575238807e-05,1.0,0.0
50.0,1000.0,3,8,0.2,0.95,clean,0,3.780333024394622e-08,1.0,0.0
50.0,1000.0,3,2,0.2,0.95,clean,1,7.774163002238765e-08,1.0,0.0
50.0,1000.0,3,8,0.2,0.95,noisy_negative,0,5.129280530416502e-05,1.0,0.0
50.0,1000.0,3,2,0.2,0.95,noisy_negative,1,3.0728177084410335e-05,1.0,0.0
50.0,1000.0,3,8,0.5,0.9,clean,0,1.2748545330509842e-08,1.0,0.0
50.0,1000.0,3,2,0.5,0.9,clean,1,2.0401455635976617e-08,1.0,0.0
50.0,1000.0,3,8,0.5,0.9,noisy_negative,0,3.452258567482325e-05,1.0,0.0
50.0,1000.0,3,2,0.5,0.9,noisy_negative,1,0.00011758014432206032,1.0,0.0
50.0,1000.0,3,8,0.5,0.95,clean,0,0.0001289577889105331,1.0,0.0
50.0,1000.0,3,2,0.5,0.95,clean,1,3.074125309865394e-08,1.0,0.0
50.0,1000.0,3,8,0.5,0.95,noisy_negative,0,0.00012706233277307716,1.0,0.0
50.0,1000.0,3,2,0.5,0.95,noisy_negative,1,0.0001243664983694437,1.0,0.0
50.0,1000.0,4,8,0.1,0.9,clean,0,4.795077882646659e-06,1.0,0.0
50.0,1000.0,4,2,0.1,0.9,clean,1,1.7939860551624554e-05,1.0,0.0
50.0,1000.0,4,8,0.1,0.9,noisy_negative,0,2.8676449603901033e-05,1.0,0.0
50.0,1000.0,4,2,0.1,0.9,noisy_negative,1,4.146984304703727e-06,1.0,0.0
50.0,1000.0,4,8,0.1,0.95,clean,0,5.043219086051098e-06,1.0,0.0
50.0,1000.0,4,2,0.1,0.95,clean,1,2.1249821479107922e-05,1.0,0.0
50.0,1000.0,4,8,0.1,0.95,noisy_negative,0,4.285658878337706e-05,1.0,0.0
50.0,1000.0,4,2,0.1,0.95,noisy_negative,1,3.467493381981157e-06,1.0,0.0
50.0,1000.0,4,8,0.2,0.9,clean,0,1.3195127112508587e-05,1.0,0.0
50.0,1000.0,4,2,0.2,0.9,clean,1,2.6520651219996694e-05,1.0,0.0
50.0,1000.0,4,8,0.2,0.9,noisy_negative,0,5.0291583584577415e-05,1.0,0.0
50.0,1000.0,4,2,0.2,0.9,noisy_negative,1,4.213180382484083e-05,1.0,0.0
50.0,1000.0,4,8,0.2,0.95,clean,0,2.648998225440735e-06,1.0,0.0
50.0,1000.0,4,2,0.2,0.95,clean,1,6.131803548414805e-06,1.0,0.0
50.0,1000.0,4,8,0.2,0.95,noisy_negative,0,5.2913748780435144e-05,1.0,0.0
50.0,1000.0,4,2,0.2,0.95,noisy_negative,1,1.1910231728640142e-07,1.0,0.0
50.0,1000.0,4,8,0.5,0.9,clean,0,2.747761396193482e-08,1.0,0.0
50.0,1000.0,4,2,0.5,0.9,clean,1,0.00012575923144453327,1.0,0.0
50.0,1000.0,4,8,0.5,0.9,noisy_negative,0,0.00013136440062511134,1.0,0.0
50.0,1000.0,4,2,0.5,0.9,noisy_negative,1,0.0002794951182839289,1.0,0.0
50.0,1000.0,4,8,0.5,0.95,clean,0,6.883107839494862e-05,1.0,0.0
50.0,1000.0,4,2,0.5,0.95,clean,1,0.0001227618944543707,1.0,0.0
50.0,1000.0,4,8,0.5,0.95,noisy_negative,0,1.422049807631165e-07,1.0,0.0
50.0,1000.0,4,2,0.5,0.95,noisy_negative,1,0.00014880494791968957,1.0,0.0
50.0,10000.0,2,8,0.1,0.9,clean,0,5.5438886370495766e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.9,clean,1,9.887367635741384e-08,1.0,0.0
50.0,10000.0,2,8,0.1,0.9,noisy_negative,0,1.9543030360669178e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.9,noisy_negative,1,5.264486131473234e-07,1.0,0.0
50.0,10000.0,2,8,0.1,0.95,clean,0,6.310778766227543e-08,1.0,0.0
50.0,10000.0,2,2,0.1,0.95,clean,1,1.3942580157078055e-07,1.0,0.0
